Date,TimeOfDay,Soil_ph,Iron,Manganese,Zinc,Copper,Boron,Molybdenum,Chlorine,Nickel,Potassium,Sodium,Nitrogen,Calcium,Sulphur,Phosphorus,Relative_Humidity,Temperature,Water,Radiation
2018-01-06,afternoon,7.0,9.43,42.48,1.69,0.21,0.6,0.029,0.48,0.098,19.4,18.82,15.98,17.1,29.9,2.82,63.91,33.05,2.8,428.21
2018-01-06,evening,6.24,9.4,26.2,0.95,0.35,0.39,0.027,0.47,0.039,16.09,17.31,16.18,15.9,29.28,2.33,67.24,26.95,3.59,311.32
2018-01-07,morning,6.48,4.34,22.72,0.91,0.21,0.37,0.034,0.33,0.088,15.69,15.09,19.75,16.59,16.42,2.7,62.51,21.03,3.28,419.8
2018-01-07,afternoon,6.56,9.84,11.79,1.02,0.47,0.73,0.04,1.71,0.083,17.32,15.06,16.85,15.06,27.38,2.91,67.18,29.68,4.59,436.98
2018-01-07,evening,6.49,6.77,13.8,1.45,0.24,0.66,0.023,1.69,0.053,17.73,18.38,16.49,27.1,18.6,2.19,69.8,24.45,2.71,493.2
2018-01-08,morning,6.69,8.83,25.86,1.53,0.35,0.83,0.04,1.95,0.046,16.01,18.41,15.48,27.77,22.64,2.61,64.27,20.75,4.69,462.49
2018-01-08,afternoon,5.78,4.89,19.22,1.41,0.49,0.69,0.05,0.22,0.096,19.47,16.06,19.65,17.14,24.87,2.62,63.85,22.13,2.73,370.92
2018-01-08,evening,6.9,8.32,43.98,1.82,0.2,0.58,0.024,0.47,0.078,16.2,15.08,16.6,20.39,22.65,2.37,79.51,25.46,4.35,324.17
2018-01-09,morning,6.95,4.29,29.09,1.38,0.27,0.39,0.018,0.29,0.025,15.22,17.14,16.5,19.59,21.34,2.63,73.94,28.43,2.72,358.14
2018-01-09,afternoon,5.56,9.55,15.38,1.26,0.33,0.89,0.014,0.64,0.081,18.97,18.44,18.33,17.9,26.89,2.16,83.3,20.59,3.68,479.15
2018-01-09,evening,6.43,6.41,43.65,1.94,0.21,0.58,0.038,1.27,0.074,17.01,16.75,17.71,27.72,28.53,2.56,78.1,28.0,3.07,363.29
2018-01-10,morning,6.12,8.23,28.14,1.19,0.45,0.82,0.015,1.3,0.034,19.0,16.44,15.28,17.21,25.32,2.16,63.28,30.96,3.85,358.88
2018-01-10,afternoon,6.79,5.39,42.21,0.52,0.24,0.79,0.032,0.51,0.042,19.88,17.77,19.14,23.94,15.17,2.14,72.66,33.44,4.33,488.43
2018-01-10,evening,6.84,4.82,31.97,1.16,0.28,0.62,0.012,1.31,0.039,17.47,18.51,18.82,23.05,21.13,2.28,84.37,28.47,2.73,465.06
2018-01-11,morning,6.32,7.7,16.6,1.56,0.31,0.79,0.048,1.19,0.015,19.68,19.3,17.85,21.64,24.34,2.39,83.02,28.62,3.14,406.28
2018-01-11,afternoon,6.86,6.89,17.42,0.88,0.43,0.78,0.024,0.41,0.014,17.02,18.87,16.99,22.16,17.73,2.45,66.2,31.81,3.47,388.41
2018-01-11,evening,5.61,7.96,13.79,1.06,0.44,0.5,0.043,1.23,0.06,16.5,18.84,16.37,16.45,18.41,2.42,82.66,31.59,3.62,307.13
2018-01-12,morning,5.65,7.64,37.05,1.29,0.32,0.43,0.047,1.2,0.094,15.85,19.29,18.77,20.87,15.48,2.95,62.18,33.74,3.37,327.24
2018-01-12,afternoon,6.27,7.95,49.46,1.35,0.31,0.31,0.031,0.49,0.057,17.29,15.38,15.44,18.36,17.08,2.44,64.49,21.75,3.07,402.44
2018-01-12,evening,6.3,7.06,12.32,0.74,0.42,0.58,0.019,0.51,0.039,16.59,19.44,17.73,21.16,15.1,2.35,66.43,32.9,3.25,385.85
2018-01-13,morning,6.14,9.14,14.53,1.19,0.32,0.56,0.031,1.09,0.069,15.14,16.55,15.87,19.16,18.08,2.66,61.9,27.66,3.36,457.62
2018-01-13,afternoon,6.3,9.17,16.95,0.76,0.44,0.35,0.022,0.46,0.081,17.08,19.46,17.88,15.76,15.6,2.81,61.12,26.16,3.31,452.97
2018-01-13,evening,6.6,8.21,30.58,1.76,0.21,0.55,0.027,1.08,0.038,19.81,18.41,17.14,26.87,15.34,2.18,72.9,29.09,2.73,443.73
2018-01-14,morning,6.96,7.52,25.07,1.59,0.41,0.99,0.036,0.79,0.019,18.44,16.67,18.63,22.53,29.58,2.12,68.71,29.05,2.61,411.93
2018-01-14,afternoon,6.15,5.29,18.49,0.7,0.28,0.38,0.02,0.51,0.085,17.07,16.43,19.73,15.6,15.59,2.98,63.54,26.77,3.45,302.86
2018-01-14,evening,6.37,5.31,17.04,1.31,0.5,0.42,0.017,0.62,0.045,15.57,19.08,19.6,20.35,21.72,2.84,83.78,31.42,3.9,319.99
2018-01-15,morning,5.68,7.41,32.86,0.81,0.21,0.59,0.045,1.49,0.054,16.03,18.25,19.89,16.11,17.91,2.04,81.95,33.16,4.96,330.59
2018-01-15,afternoon,6.9,9.93,24.26,1.14,0.37,0.39,0.018,1.82,0.019,19.04,19.94,16.83,20.68,15.51,2.94,66.81,30.4,3.41,338.27
2018-01-15,evening,6.24,5.03,24.77,1.77,0.33,0.4,0.018,0.93,0.07,18.68,15.01,15.24,24.56,17.88,2.95,61.53,32.62,4.68,387.37
2018-01-16,morning,6.48,9.59,31.5,1.6,0.36,0.55,0.027,0.57,0.044,18.06,18.69,15.24,16.94,15.6,2.11,74.0,30.66,4.56,367.81
2018-01-16,afternoon,6.25,6.28,42.12,1.25,0.2,0.33,0.026,0.45,0.097,15.56,17.6,18.24,23.97,26.69,2.59,73.96,34.11,3.73,465.63
2018-01-16,evening,5.86,7.86,45.72,1.24,0.46,0.94,0.011,0.47,0.049,17.98,18.73,16.65,29.44,17.08,2.2,67.05,24.67,3.85,457.3
2018-01-17,morning,5.59,9.58,22.52,1.72,0.23,0.5,0.032,1.95,0.056,18.07,15.69,18.67,17.43,21.95,2.8,78.49,21.56,3.98,374.97
2018-01-17,afternoon,6.18,8.26,43.57,0.79,0.41,0.57,0.04,1.65,0.055,17.22,16.14,18.25,19.09,15.49,2.86,66.08,29.75,2.98,461.42
2018-01-17,evening,6.61,7.61,13.11,1.2,0.44,0.7,0.024,1.95,0.067,19.12,16.72,19.96,15.72,20.83,2.84,77.28,23.07,2.77,479.15
2018-01-18,morning,6.64,7.76,25.59,1.64,0.23,0.37,0.04,1.43,0.048,16.63,15.99,17.48,26.51,22.88,2.3,74.76,32.33,3.78,421.69
2018-01-18,afternoon,5.86,5.92,23.25,0.74,0.36,0.48,0.011,0.58,0.056,16.02,16.94,17.45,16.39,23.01,2.57,71.19,32.19,4.66,486.75
2018-01-18,evening,6.18,9.99,17.09,0.8,0.26,0.91,0.03,0.93,0.051,16.17,18.81,19.78,23.31,15.17,2.08,62.37,34.07,2.82,436.45
2018-01-19,morning,5.53,7.38,47.56,1.68,0.4,0.54,0.034,0.22,0.032,18.79,19.42,17.42,19.87,28.47,2.34,66.22,33.31,4.5,407.47
2018-01-19,afternoon,6.02,7.56,39.22,0.66,0.36,0.98,0.035,1.94,0.05,17.26,15.4,17.75,16.27,18.14,2.36,77.89,29.58,4.79,413.7
2018-01-19,evening,6.94,8.27,16.86,0.89,0.36,0.79,0.049,0.66,0.067,18.94,15.55,19.67,17.92,15.53,2.93,80.88,33.11,3.92,449.34
2018-01-20,morning,6.05,4.8,46.99,1.67,0.48,0.57,0.013,1.15,0.066,17.76,17.61,18.68,22.08,28.83,2.18,77.12,30.17,3.26,479.71
2018-01-20,afternoon,5.86,6.89,35.85,1.11,0.31,0.57,0.012,0.36,0.074,17.66,16.85,17.84,15.05,27.04,2.96,78.9,23.24,3.25,349.88
2018-01-20,evening,5.72,6.26,47.42,1.23,0.32,0.43,0.023,0.95,0.041,16.67,17.89,17.93,27.6,27.35,2.54,82.41,21.46,4.33,383.9
2018-01-21,morning,5.68,4.09,38.71,1.63,0.49,0.88,0.014,0.58,0.059,15.7,19.34,17.83,17.55,22.88,2.7,64.12,28.56,3.87,421.56
2018-01-21,afternoon,5.71,4.03,30.87,0.97,0.22,0.87,0.015,1.93,0.066,19.07,19.91,16.16,18.6,18.73,2.12,79.96,33.15,4.12,373.7
2018-01-21,evening,6.74,6.61,22.95,0.9,0.44,0.35,0.017,0.69,0.049,15.54,18.46,18.55,29.46,18.65,2.49,73.78,27.88,3.06,466.78
2018-01-22,morning,6.97,5.92,13.99,1.18,0.22,0.72,0.032,1.95,0.09,17.58,18.96,18.6,29.06,23.63,2.07,83.26,32.08,4.67,355.15
2018-01-22,afternoon,6.95,5.01,35.42,1.45,0.49,0.53,0.013,0.26,0.054,16.83,16.98,16.65,21.18,23.13,2.25,67.31,25.49,2.89,375.08
2018-01-22,evening,6.4,5.34,23.78,0.97,0.34,0.59,0.032,0.95,0.048,16.53,17.45,16.69,21.15,22.08,2.36,75.81,20.14,3.44,308.26
2018-01-23,morning,5.86,4.88,14.81,0.59,0.38,0.74,0.049,0.24,0.053,18.48,16.4,18.44,18.59,21.27,2.86,61.57,20.6,3.42,320.08
2018-01-23,afternoon,6.11,7.99,36.46,1.23,0.39,0.68,0.016,0.5,0.067,17.98,16.87,17.54,22.17,23.59,2.96,73.47,28.96,2.76,485.14
2018-01-23,evening,6.47,5.43,18.54,0.69,0.42,0.89,0.027,1.8,0.027,15.23,17.13,16.08,16.55,18.02,2.35,81.32,28.34,4.87,337.13
2018-01-24,morning,6.32,8.39,45.25,1.48,0.32,0.74,0.029,1.14,0.071,15.18,16.14,18.63,25.29,21.3,2.79,68.98,27.35,4.47,355.87
2018-01-24,afternoon,5.81,8.34,37.0,0.62,0.49,0.66,0.043,0.52,0.051,15.03,15.77,18.61,27.62,16.35,2.91,66.72,20.82,4.27,340.25
2018-01-24,evening,6.4,4.56,45.42,1.87,0.22,0.86,0.037,1.05,0.053,16.26,16.38,16.72,18.15,20.3,2.07,84.85,30.28,4.66,318.88
2018-01-25,morning,6.0,5.18,31.68,0.67,0.27,0.96,0.042,1.02,0.027,20.0,17.02,16.31,26.68,20.71,2.15,72.3,32.37,4.09,302.64
2018-01-25,afternoon,6.97,5.19,28.85,1.09,0.35,0.55,0.027,1.24,0.021,16.64,16.48,16.17,19.12,20.2,2.63,82.68,20.27,4.68,463.09
2018-01-25,evening,6.66,4.86,42.98,0.96,0.4,0.6,0.027,1.85,0.042,19.06,17.62,15.24,21.54,19.06,2.06,61.65,23.05,4.3,373.57
2018-01-26,morning,6.98,4.04,42.43,0.7,0.44,0.43,0.045,1.88,0.085,19.88,18.51,19.04,24.49,25.23,2.5,68.14,22.74,3.47,388.94
2018-01-26,afternoon,6.03,4.57,33.25,0.88,0.29,0.8,0.034,1.72,0.011,18.13,19.6,15.41,27.04,25.17,2.35,68.76,25.36,4.84,494.58
2018-01-26,evening,6.09,8.03,40.55,1.14,0.39,0.4,0.043,1.52,0.019,18.6,15.9,17.56,25.9,20.08,2.4,70.37,20.39,3.49,329.66
2018-01-27,morning,6.49,8.77,25.51,1.48,0.24,0.87,0.038,0.53,0.093,16.52,15.48,17.89,23.58,23.33,2.67,69.33,31.36,2.63,368.56
2018-01-27,afternoon,5.59,4.64,39.32,0.91,0.2,0.34,0.048,0.9,0.087,19.55,18.72,16.74,19.06,18.78,2.99,77.68,28.95,3.36,450.33
2018-01-27,evening,6.75,5.24,28.11,1.24,0.25,0.63,0.018,0.72,0.083,15.56,16.01,18.69,29.12,27.56,2.62,80.07,21.63,3.53,337.51
2018-01-28,morning,5.51,7.98,15.95,0.89,0.48,0.56,0.017,1.01,0.069,19.8,19.83,19.99,21.83,18.41,2.11,71.17,20.91,4.29,409.97
2018-01-28,afternoon,6.54,9.67,41.7,1.16,0.25,0.45,0.026,1.55,0.088,18.1,18.97,18.76,28.51,18.63,2.02,63.54,30.69,4.07,405.2
2018-01-28,evening,5.56,4.35,17.97,0.66,0.32,0.79,0.048,1.02,0.019,15.33,16.59,17.08,25.69,24.97,2.99,70.81,30.1,4.11,352.91
2018-01-29,morning,6.77,7.55,47.15,1.67,0.3,0.54,0.049,1.07,0.012,17.6,16.28,16.35,18.33,22.91,2.22,77.78,27.77,4.45,456.39
2018-01-29,afternoon,5.65,7.65,46.33,1.56,0.25,0.63,0.036,0.32,0.033,17.36,16.76,15.3,18.79,23.4,2.22,82.89,25.3,4.66,489.61
2018-01-29,evening,5.61,5.82,12.71,1.79,0.49,0.72,0.021,1.22,0.079,16.14,18.28,19.34,29.37,20.89,3.0,78.68,20.49,3.92,441.61
2018-01-30,morning,6.74,8.82,21.33,1.57,0.41,0.7,0.022,1.55,0.064,19.24,15.48,16.14,22.14,20.01,2.98,73.57,34.27,3.03,407.15
2018-01-30,afternoon,6.54,6.61,33.53,1.22,0.44,0.56,0.022,1.14,0.069,16.49,18.34,19.37,16.99,26.49,2.27,72.06,28.86,3.36,439.73
2018-01-30,evening,6.51,7.96,48.03,1.05,0.26,0.88,0.041,0.61,0.042,15.49,19.47,16.2,26.29,15.03,2.82,68.61,32.74,4.54,312.77
2018-01-31,morning,6.25,9.64,19.07,1.97,0.31,0.79,0.046,1.7,0.039,16.24,19.77,15.57,26.6,28.37,2.81,80.96,27.84,3.9,476.11
2018-01-31,afternoon,5.93,7.6,30.91,0.59,0.35,0.61,0.021,0.95,0.069,17.99,18.84,16.9,25.71,19.88,2.34,66.48,25.72,2.9,437.31
2018-01-31,evening,6.3,7.99,30.64,1.41,0.28,0.73,0.025,1.04,0.065,16.61,19.22,19.47,28.28,22.35,2.1,73.68,23.98,3.81,490.66
2018-02-01,morning,5.73,5.63,37.81,1.17,0.31,0.6,0.037,0.68,0.049,18.28,17.32,18.72,25.01,19.92,2.78,83.01,30.91,4.83,425.57
2018-02-01,afternoon,6.52,9.16,16.73,0.78,0.41,0.79,0.041,0.37,0.046,17.11,16.88,16.97,17.15,19.71,2.66,83.71,31.73,2.96,438.38
2018-02-01,evening,6.01,5.32,13.1,0.78,0.3,0.75,0.041,0.92,0.045,16.72,18.77,16.14,18.75,22.14,2.46,69.32,24.26,2.83,420.88
2018-02-02,morning,5.91,4.47,14.11,0.72,0.24,0.58,0.02,1.8,0.073,15.51,18.8,16.9,17.95,16.11,2.12,76.14,32.57,4.99,433.31
2018-02-02,afternoon,5.94,9.72,16.63,1.47,0.37,0.58,0.017,1.42,0.078,16.58,19.6,19.99,21.15,18.82,2.53,72.52,23.3,4.02,465.69
2018-02-02,evening,6.29,9.0,35.92,1.1,0.5,0.95,0.036,1.31,0.016,18.29,18.83,16.37,26.95,29.82,2.75,83.4,22.62,4.0,333.91
2018-02-03,morning,6.52,4.78,16.68,1.11,0.21,0.42,0.05,1.47,0.053,17.75,17.87,18.55,19.05,23.71,2.67,79.28,26.03,4.54,385.69
2018-02-03,afternoon,6.83,6.26,46.84,1.01,0.3,0.76,0.02,0.61,0.016,16.81,15.61,15.07,21.44,24.56,2.34,84.98,29.43,3.85,326.94
2018-02-03,evening,6.46,8.26,12.26,1.01,0.32,0.89,0.043,0.52,0.088,19.82,15.0,16.18,17.22,26.12,2.52,84.97,20.03,2.93,306.68
2018-02-04,morning,6.05,8.24,20.74,1.51,0.29,0.76,0.037,1.89,0.053,15.78,15.81,17.35,18.97,17.17,2.16,72.77,23.75,4.07,433.67
2018-02-04,afternoon,6.14,7.46,31.75,1.62,0.24,0.38,0.021,1.7,0.081,18.38,18.45,16.25,15.66,20.21,2.19,83.27,33.12,3.83,435.1
2018-02-04,evening,6.62,4.59,25.81,0.61,0.26,0.65,0.015,0.44,0.07,17.93,18.14,19.82,22.54,15.69,2.17,64.77,24.69,4.77,389.58
2018-02-05,morning,5.55,4.91,11.48,1.49,0.47,0.68,0.017,0.21,0.086,15.41,16.32,16.49,27.38,27.63,2.67,74.74,20.98,2.61,442.16
2018-02-05,afternoon,6.63,4.02,30.65,0.53,0.38,0.98,0.036,0.71,0.044,18.89,18.49,17.6,15.44,23.72,2.6,74.7,24.16,3.51,346.49
2018-02-05,evening,5.93,7.16,31.83,1.11,0.27,0.5,0.046,0.66,0.073,16.04,19.91,17.5,18.34,27.62,2.6,75.06,24.74,3.6,330.45
2018-02-06,morning,6.75,7.76,40.09,1.52,0.21,0.7,0.032,1.85,0.045,19.84,16.32,19.41,23.24,27.85,2.34,72.46,26.05,3.83,428.16
2018-02-06,afternoon,5.6,7.33,40.28,1.75,0.49,0.65,0.031,0.23,0.056,16.93,17.17,17.02,26.55,26.4,2.02,76.99,33.04,2.67,481.61
2018-02-06,evening,5.54,7.75,35.29,0.77,0.4,0.86,0.034,1.58,0.028,18.68,17.39,19.47,18.88,25.85,2.56,79.13,20.98,3.01,460.94
2018-02-07,morning,6.93,5.63,37.63,1.43,0.4,0.83,0.023,1.3,0.046,16.67,15.68,18.17,23.97,18.76,2.53,61.17,24.63,3.13,491.51
2018-02-07,afternoon,6.32,6.35,27.98,1.97,0.2,0.93,0.033,0.24,0.076,15.72,15.82,15.43,27.91,24.68,2.74,77.42,22.61,4.3,379.76
2018-02-07,evening,6.14,8.63,31.06,1.48,0.27,0.85,0.011,0.6,0.019,15.36,16.65,16.31,15.6,19.52,2.86,63.45,21.03,2.55,324.98
2018-02-08,morning,6.77,8.08,48.07,1.69,0.38,0.38,0.027,0.2,0.016,15.44,19.88,18.34,16.05,26.14,2.87,67.16,29.94,4.53,301.99
2018-02-08,afternoon,5.6,6.19,19.85,1.59,0.36,0.34,0.018,0.9,0.049,15.04,16.64,18.93,25.98,16.23,2.92,84.99,21.39,3.09,376.36
2018-02-08,evening,6.61,7.6,11.58,0.9,0.26,0.76,0.039,0.21,0.085,16.78,17.91,16.03,22.14,24.46,2.71,66.2,34.54,3.55,469.92
2018-02-09,morning,5.87,7.91,38.33,0.55,0.25,0.36,0.034,1.02,0.076,16.82,16.16,17.01,24.7,21.37,2.07,82.46,25.14,2.72,488.68
2018-02-09,afternoon,5.88,8.78,18.91,0.86,0.42,0.8,0.03,1.68,0.057,16.46,15.02,16.97,28.45,18.2,2.77,62.06,21.2,2.91,423.92
2018-02-09,evening,6.55,9.5,12.01,1.86,0.3,0.71,0.04,0.57,0.071,19.98,18.94,17.9,15.89,15.38,2.46,62.29,32.54,2.91,420.95
2018-02-10,morning,6.02,5.03,44.4,1.55,0.37,0.54,0.019,0.27,0.071,17.57,19.55,16.17,23.68,25.33,2.99,75.75,21.14,2.69,465.82
2018-02-10,afternoon,5.99,9.94,17.92,0.59,0.34,0.49,0.022,1.07,0.098,16.25,15.98,18.58,26.36,26.65,2.72,75.7,28.47,4.0,318.57
2018-02-10,evening,6.4,9.03,26.51,1.97,0.49,0.49,0.041,1.54,0.075,15.02,15.82,18.11,16.41,27.03,2.73,83.49,20.14,3.49,382.69
2018-02-11,morning,6.39,7.62,27.99,1.51,0.41,0.82,0.044,1.34,0.089,15.85,15.86,15.64,17.1,23.0,2.42,60.53,25.18,3.4,346.71
2018-02-11,afternoon,6.06,4.6,13.96,1.44,0.37,0.57,0.02,0.74,0.04,16.99,15.43,19.76,29.41,20.68,2.91,82.95,33.22,4.71,473.35
2018-02-11,evening,5.58,5.02,22.91,1.01,0.45,0.32,0.015,1.62,0.018,15.42,20.0,16.33,15.13,22.32,2.26,79.96,28.54,4.09,338.72
2018-02-12,morning,6.0,8.67,43.62,0.62,0.29,0.52,0.05,0.36,0.057,15.62,19.24,18.42,17.06,29.1,2.63,62.35,23.82,4.6,341.67
2018-02-12,afternoon,6.7,9.2,36.45,1.17,0.23,0.45,0.038,0.55,0.028,17.83,19.16,19.49,21.04,17.44,2.08,77.95,20.53,3.71,429.57
2018-02-12,evening,6.17,5.41,19.62,0.68,0.29,0.78,0.019,1.66,0.033,17.17,18.32,17.59,22.65,18.53,2.95,61.23,27.81,3.61,350.54
2018-02-13,morning,5.78,7.1,25.99,1.93,0.33,0.32,0.017,0.38,0.045,18.26,17.8,17.75,19.54,26.34,2.16,82.96,26.92,4.5,497.65
2018-02-13,afternoon,6.51,4.14,19.35,1.89,0.28,0.57,0.016,1.82,0.021,19.97,19.98,19.33,27.7,18.17,2.91,61.61,33.07,3.56,448.07
2018-02-13,evening,6.51,5.41,31.62,1.27,0.38,0.74,0.046,0.87,0.014,19.62,16.81,15.52,27.21,18.72,2.59,79.68,31.14,3.89,433.46
2018-02-14,morning,6.35,7.77,37.98,0.87,0.22,0.49,0.013,1.18,0.085,16.29,15.08,15.07,29.18,25.72,2.51,64.95,29.45,3.45,353.95
2018-02-14,afternoon,6.96,4.85,17.0,1.49,0.48,0.74,0.012,0.86,0.086,18.37,17.4,16.07,25.27,29.19,2.68,83.11,21.33,3.52,433.01
2018-02-14,evening,6.11,6.55,20.9,1.88,0.21,0.43,0.039,0.53,0.028,18.55,19.82,15.79,15.49,26.04,2.18,60.1,24.44,2.72,396.56
2018-02-15,morning,6.9,6.69,33.65,1.47,0.5,0.45,0.036,1.48,0.096,15.53,15.31,16.09,23.57,26.75,2.58,69.19,29.45,2.96,449.12
2018-02-15,afternoon,5.85,8.41,15.82,1.08,0.33,0.43,0.042,1.2,0.093,17.7,15.56,16.89,24.74,26.44,2.33,66.54,29.39,3.62,376.75
2018-02-15,evening,6.0,9.86,34.82,0.87,0.3,0.55,0.041,0.62,0.039,15.32,19.44,18.6,25.11,24.64,2.79,60.1,22.88,3.55,454.76
2018-02-16,morning,5.99,7.15,49.33,1.49,0.29,0.64,0.022,1.45,0.038,19.81,18.3,19.11,21.84,19.31,2.17,81.03,28.71,4.6,350.43
2018-02-16,afternoon,5.72,6.84,29.42,1.19,0.34,0.9,0.03,0.77,0.011,15.58,18.97,17.09,24.25,17.47,2.5,82.96,34.69,4.85,325.24
2018-02-16,evening,6.58,7.6,19.22,1.25,0.42,0.59,0.048,1.14,0.054,15.67,17.26,19.38,16.37,16.46,2.5,62.27,24.99,3.21,451.68
2018-02-17,morning,5.98,4.14,24.68,1.86,0.46,0.67,0.047,1.53,0.045,17.26,17.54,18.69,22.8,16.51,2.2,70.43,30.79,3.31,479.77
2018-02-17,afternoon,6.45,7.99,49.18,1.67,0.31,0.53,0.028,0.52,0.05,19.32,18.78,19.2,27.91,22.62,2.53,71.85,28.36,3.08,323.52
2018-02-17,evening,6.07,5.43,32.46,1.09,0.3,0.48,0.028,0.27,0.06,17.71,15.25,15.72,18.55,26.98,2.24,61.57,27.08,2.55,426.97
2018-02-18,morning,6.58,8.91,14.27,1.24,0.23,0.48,0.032,0.69,0.078,17.48,17.16,16.27,24.43,21.01,2.34,77.07,27.29,3.04,443.87
2018-02-18,afternoon,6.59,5.12,37.35,0.7,0.21,0.62,0.014,1.48,0.083,18.91,17.76,15.1,15.39,16.03,2.44,64.62,24.83,4.37,428.9
2018-02-18,evening,5.93,7.85,43.06,1.27,0.37,0.44,0.035,0.83,0.057,18.01,17.72,15.79,24.57,28.51,2.84,67.38,24.14,4.35,488.33
2018-02-19,morning,6.07,5.08,22.42,1.5,0.48,0.85,0.025,1.25,0.012,16.33,15.7,17.19,22.78,25.0,2.68,63.66,27.41,2.83,306.96
2018-02-19,afternoon,5.65,4.68,40.07,0.75,0.34,0.47,0.019,1.98,0.05,19.99,19.23,18.78,18.3,15.34,2.07,77.57,24.6,3.27,351.32
2018-02-19,evening,5.65,4.53,33.16,0.8,0.33,0.51,0.025,1.17,0.047,19.25,17.96,18.62,26.19,26.61,2.15,73.19,29.93,3.17,486.37
2018-02-20,morning,6.5,8.21,45.86,1.1,0.26,0.94,0.046,1.49,0.077,19.4,18.33,16.95,24.32,28.66,2.05,83.84,27.41,3.47,457.82
2018-02-20,afternoon,6.59,6.65,26.3,1.64,0.37,0.74,0.02,1.97,0.076,18.97,16.24,19.43,29.0,27.85,2.02,70.61,23.69,4.04,453.58
2018-02-20,evening,5.54,9.87,38.13,1.39,0.48,0.43,0.02,0.64,0.043,18.65,16.27,17.39,22.97,19.65,2.35,75.36,22.27,2.65,434.15
2018-02-21,morning,6.56,4.09,28.96,1.0,0.3,0.45,0.024,1.29,0.038,16.75,17.89,15.54,15.75,28.13,2.93,68.35,33.17,4.79,485.75
2018-02-21,afternoon,6.21,6.07,14.27,0.93,0.5,0.97,0.047,1.18,0.064,19.67,19.61,15.28,19.0,16.4,2.85,80.62,31.41,4.63,472.12
2018-02-21,evening,6.56,9.95,11.06,0.61,0.23,0.75,0.041,1.7,0.099,15.22,17.2,19.68,17.18,26.07,2.3,63.34,24.4,2.73,491.57
2018-02-22,morning,6.2,4.02,19.58,1.92,0.33,0.55,0.012,0.82,0.017,19.51,15.51,16.66,15.44,20.79,2.28,74.65,28.26,3.68,468.07
2018-02-22,afternoon,6.31,7.33,23.22,1.67,0.49,0.8,0.045,1.61,0.031,19.96,16.42,19.31,20.53,21.82,2.51,78.37,23.02,3.33,404.61
