Date,TimeOfDay,LAT,LON,TS,T2M,RH2M,WS2M,T2MDEW,GWETTOP,CLOUD_AMT,PRECTOTCORR,Crop_Stage,Crop_Variety_Type,Season,Duration,Day_of_Crop,Soil_Moisture_Content,Soil_Temperature,Soil_pH,Sodium,Nitrogen,Magnesium,Boron,Chlorine,Copper,Iron,Manganese,Molybdenum,Zinc,Nickel,Water_Retention_Capacity,Calcium,Sulphur,Phosphorous,Potassium,Cation_Exchange_Capacity,Electrical_Conductivity,Water_Requirement,Radiation,Ambient_Temperature,Humidity,Sunlight_Exposure,Rainfall,Wind_Speed,Cloud_Cover,Radiation_Exposure,Seed_Vigor_Index,Germination_Rate,Disease_Resistance,Pest_Resistance,Root_Growth_Rate,Shoot_Emergence_Time,Planting_Depth,Seed_Spacing,Vegetation_Index,Seed_Viability,Seed_Moisture_Content,Initial_Fertilizer_Application,Heat_Stress_Index,Water_Stress_Index,Salinity_Stress_Index,Soil_Respiration_Rate,Organic_Matter_Content,Yield
2022-12-27,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,157,9,83,24,6.95,15.45,19.01,11,0.61,1.07,0.2,7.72,41.76,0.029,0.63,0.048,71,28.09,15.91,3,19.76,15,0.59,3.5,456.84,34,76,12,218,10,55,327,100,81,12,84,1,10,2,7,0.52,98,9,Potash,0,1,0,2,1,97
2022-12-27,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,157,9,80,24,5.58,16.76,17.21,22,0.33,1.26,0.22,8.41,25.45,0.023,1.75,0.018,79,29.03,24.19,2,17.45,15,0.5,3.28,314.59,33,69,10,282,5,13,451,94,85,66,41,3,9,5,8,0.62,81,8,DAP,0,0,1,9,3,50
2022-12-27,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,157,9,75,29,6.0,17.17,18.94,20,0.68,0.6,0.37,4.87,36.15,0.024,1.09,0.059,88,25.06,17.83,3,19.24,28,0.59,4.26,468.69,23,84,11,180,9,100,310,71,87,40,37,5,10,2,10,0.82,87,9,Urea,0,1,1,0,4,18
2022-12-26,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,106,8,79,20,6.23,19.79,17.41,40,0.36,1.14,0.48,7.52,10.38,0.022,1.55,0.037,86,18.04,22.82,3,19.57,36,0.95,3.75,490.62,31,62,7,150,9,3,355,82,85,95,92,5,6,5,9,0.5,77,10,Urea,1,1,1,0,3,97
2022-12-26,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,106,8,75,32,5.59,18.85,15.55,18,0.93,1.64,0.41,6.53,29.41,0.031,1.87,0.065,68,24.24,26.53,3,19.04,11,0.28,4.05,363.95,26,61,11,126,4,81,329,96,90,26,42,1,5,5,7,0.56,88,9,Potash,1,1,0,3,3,32
2022-12-26,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,106,8,88,25,6.45,19.49,15.11,28,0.79,1.84,0.23,9.0,45.78,0.015,0.96,0.08,84,24.67,22.48,3,17.23,19,0.61,3.58,393.82,27,82,7,114,2,94,405,90,81,65,2,2,6,5,5,0.64,73,12,Urea,1,0,1,9,1,52
2022-12-25,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,147,20,78,24,6.75,18.07,15.98,21,0.94,0.94,0.48,5.27,41.19,0.024,1.82,0.015,77,24.42,28.38,3,18.0,26,0.21,3.82,496.59,28,83,8,182,0,24,486,87,83,14,3,4,10,3,7,0.31,97,12,Urea,1,1,0,7,2,47
2022-12-25,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,147,20,81,24,5.73,17.52,18.35,26,0.53,0.55,0.31,6.98,18.55,0.013,1.85,0.051,59,15.05,21.41,3,18.7,34,0.66,4.47,394.81,28,82,11,140,3,65,463,77,99,28,11,5,4,4,9,0.9,99,12,Urea,1,0,1,3,5,32
2022-12-25,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,147,20,72,30,6.09,18.06,15.8,12,0.87,0.5,0.24,7.54,43.79,0.011,1.21,0.062,69,17.06,21.78,2,18.24,18,0.74,2.83,302.71,34,77,7,279,6,100,424,79,91,33,23,4,7,2,6,0.34,87,12,Potash,1,1,0,4,4,50
2022-12-24,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,119,19,71,24,5.76,15.99,16.47,30,0.31,1.84,0.41,5.15,48.08,0.016,1.53,0.015,65,24.47,16.58,2,18.83,19,0.69,4.28,304.34,32,76,10,212,10,69,302,82,92,11,0,4,4,2,10,0.77,98,11,DAP,1,0,0,0,6,93
2022-12-24,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,119,19,84,27,5.63,16.84,17.8,36,0.65,0.43,0.44,5.35,23.31,0.035,1.33,0.029,89,21.56,28.24,2,18.09,12,0.25,2.67,461.86,21,62,9,221,6,37,490,83,99,80,84,4,10,2,5,0.37,72,12,DAP,1,0,1,5,1,14
2022-12-24,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,119,19,90,24,6.51,18.95,15.66,10,0.86,1.2,0.36,6.18,25.14,0.029,0.93,0.085,56,27.81,16.99,2,16.99,26,1.19,3.54,311.39,24,72,9,141,4,85,436,93,85,37,79,3,7,5,10,0.67,80,11,DAP,1,1,0,6,5,87
2022-12-23,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,125,18,84,34,6.75,17.79,16.98,11,0.67,1.95,0.47,4.51,42.51,0.03,1.12,0.054,73,20.48,24.78,2,17.5,16,0.73,4.79,351.78,31,65,12,121,6,94,398,84,99,5,1,3,8,2,7,0.51,90,11,Urea,0,1,0,1,2,47
2022-12-23,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,125,18,86,21,6.26,19.74,19.96,13,0.36,1.52,0.45,9.1,10.92,0.038,1.05,0.025,72,22.06,29.01,3,17.57,18,0.7,4.32,379.38,28,80,9,215,5,34,495,96,90,32,14,3,10,2,7,0.78,82,10,DAP,1,0,1,1,4,48
2022-12-23,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,125,18,76,35,6.61,19.99,19.86,28,0.77,1.6,0.45,5.57,32.96,0.012,1.88,0.015,58,21.26,25.78,2,19.01,36,0.62,4.69,329.18,29,71,8,102,3,58,413,72,84,67,25,4,10,2,8,0.72,89,12,DAP,1,0,0,0,4,94
2022-12-22,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,129,17,80,26,6.06,17.52,19.4,21,0.35,1.67,0.23,8.36,39.63,0.03,1.02,0.013,83,18.49,20.78,3,17.05,26,0.63,4.54,308.88,21,84,8,258,8,53,332,82,84,1,67,5,3,3,6,0.38,72,11,Potash,1,0,1,6,1,72
2022-12-22,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,129,17,89,21,5.65,19.09,18.28,19,0.65,1.4,0.46,7.29,22.4,0.011,1.96,0.043,86,28.91,28.89,3,16.26,39,0.52,3.95,309.67,34,78,10,59,7,12,475,93,93,2,48,1,5,5,6,0.69,75,10,DAP,1,1,1,0,5,50
2022-12-22,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,129,17,72,24,5.73,18.73,15.56,38,0.68,1.59,0.32,4.59,27.73,0.045,0.97,0.038,50,23.81,18.63,3,17.19,32,1.01,3.66,376.07,25,72,8,124,1,39,476,94,80,50,63,2,6,4,6,0.49,97,12,Potash,1,0,1,3,3,1
2022-12-21,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,105,16,77,25,5.55,19.38,15.08,47,0.37,1.65,0.22,5.86,25.06,0.034,1.37,0.056,66,17.37,17.94,2,19.8,31,0.63,4.54,315.91,20,82,8,156,6,6,301,88,82,55,11,5,4,5,9,0.79,70,9,Potash,1,0,1,6,1,87
2022-12-21,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,105,16,89,33,6.13,16.08,15.32,10,0.98,0.75,0.46,8.54,30.05,0.031,0.98,0.054,62,17.68,28.51,2,16.06,38,0.39,3.66,471.97,27,74,6,290,5,100,414,95,98,20,70,4,5,4,7,0.76,79,9,Urea,0,0,0,6,3,38
2022-12-21,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,105,16,87,23,6.27,17.69,18.07,27,0.99,1.02,0.41,7.43,13.54,0.039,1.89,0.02,77,29.65,29.91,2,15.19,14,0.6,3.11,405.96,22,84,7,66,5,66,310,100,94,3,99,3,8,2,8,0.54,93,10,DAP,1,0,1,5,3,37
2022-12-20,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,141,15,86,30,6.01,19.01,16.58,44,0.88,1.8,0.2,6.48,14.32,0.038,1.75,0.069,59,24.31,27.06,3,17.64,28,0.87,4.75,381.1,26,69,12,219,0,77,338,96,99,46,99,3,8,5,8,0.77,74,11,Potash,1,1,0,9,3,54
2022-12-20,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,141,15,78,31,6.7,15.29,18.69,29,0.46,1.32,0.31,9.92,17.53,0.031,0.8,0.016,61,20.67,28.01,2,18.47,22,0.98,3.35,397.19,35,81,11,93,8,31,453,97,99,42,44,2,10,4,6,0.52,89,10,DAP,0,0,1,0,2,31
2022-12-20,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,141,15,74,22,6.56,15.74,16.01,14,0.41,0.52,0.32,5.95,15.29,0.045,1.22,0.038,52,15.81,21.09,2,15.42,16,0.35,4.28,415.09,24,80,11,175,6,19,477,77,82,69,15,3,9,5,8,0.86,81,12,Potash,0,1,1,0,3,61
2022-12-19,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,103,14,89,26,6.94,17.78,15.82,10,0.83,0.79,0.48,4.78,11.76,0.032,1.63,0.014,56,28.02,23.5,2,19.14,40,1.08,3.53,468.23,25,64,11,167,10,28,428,72,82,77,15,2,9,4,7,0.82,89,10,Urea,1,0,1,9,5,40
2022-12-19,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,103,14,89,25,6.89,17.22,19.92,34,0.82,1.67,0.5,9.37,25.59,0.044,1.8,0.046,60,19.71,25.51,3,15.53,22,1.16,3.51,471.67,23,83,9,207,9,55,445,78,96,53,28,2,10,5,7,0.33,82,11,Urea,0,0,0,9,6,50
2022-12-19,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,103,14,78,22,5.75,16.69,16.52,42,0.54,1.36,0.26,4.69,18.19,0.036,1.49,0.093,70,28.96,16.31,3,15.22,28,1.0,2.6,444.73,31,73,12,166,8,17,434,80,86,19,4,3,9,5,8,0.34,90,8,DAP,1,0,1,7,2,70
2022-12-18,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,147,13,90,20,6.82,17.84,18.02,28,0.58,0.35,0.37,7.84,26.07,0.023,1.16,0.082,84,18.83,24.85,2,15.74,33,0.37,4.08,440.26,35,75,10,104,10,7,420,72,100,17,52,1,3,4,6,0.44,94,10,Urea,0,1,1,5,2,7
2022-12-18,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,147,13,74,33,6.97,19.83,15.33,39,0.75,1.61,0.42,7.68,45.87,0.011,1.65,0.052,53,19.35,29.81,2,18.28,21,0.91,3.14,361.47,31,82,6,233,2,83,344,93,87,11,98,5,4,4,7,0.75,93,9,Urea,0,0,1,10,6,39
2022-12-18,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,147,13,80,31,6.28,17.03,18.52,26,0.37,0.56,0.45,7.07,22.86,0.028,1.47,0.06,73,23.56,28.21,2,19.32,33,0.69,3.73,418.41,30,69,7,168,4,17,379,85,85,3,66,1,10,3,9,0.82,89,12,DAP,0,0,0,5,5,84
2022-12-17,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,91,12,84,21,5.98,15.28,15.3,27,0.61,1.24,0.28,7.96,39.71,0.042,1.3,0.053,66,22.14,28.35,3,18.44,14,0.63,4.16,482.0,25,65,6,264,3,62,364,75,88,25,75,2,5,5,8,0.82,94,10,Potash,1,1,1,0,5,95
2022-12-17,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,91,12,86,32,5.6,16.46,18.54,38,0.77,1.95,0.5,6.76,21.63,0.028,1.51,0.07,72,19.93,28.79,3,17.49,25,0.89,3.16,405.26,34,80,8,200,8,32,496,80,98,3,4,3,4,4,9,0.76,80,10,Urea,1,0,1,9,5,26
2022-12-17,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,91,12,87,21,5.74,19.67,17.63,46,0.77,0.53,0.23,4.63,30.88,0.049,0.95,0.051,90,22.81,17.11,2,16.23,25,0.71,4.53,472.11,25,79,10,117,0,41,310,74,97,86,28,1,9,5,10,0.54,86,12,Urea,1,0,1,3,1,55
2022-12-16,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,115,11,74,32,6.12,17.8,18.91,16,0.82,0.42,0.44,4.78,48.56,0.015,0.92,0.085,56,18.98,20.45,2,18.58,23,0.58,4.57,363.03,33,67,8,140,9,17,377,93,84,57,89,3,6,4,7,0.52,85,11,Urea,0,1,0,3,3,59
2022-12-16,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,115,11,79,20,5.87,19.06,18.76,49,0.89,1.1,0.39,9.54,46.57,0.034,0.58,0.098,78,18.6,21.46,2,15.08,28,0.71,4.0,369.53,26,80,9,235,1,2,378,98,81,73,58,3,6,5,7,0.71,75,12,DAP,0,0,0,3,5,17
2022-12-16,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,115,11,76,24,6.64,17.84,18.24,16,0.45,1.6,0.49,9.43,12.13,0.025,0.9,0.09,57,16.65,24.66,2,15.6,22,0.85,3.08,405.99,30,69,9,97,2,25,487,86,97,51,93,5,5,2,8,0.53,94,8,Potash,1,1,1,1,4,78
2022-12-15,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,117,10,72,26,6.58,17.67,18.11,25,0.66,1.34,0.26,6.99,20.3,0.029,1.23,0.071,86,24.32,25.75,2,16.73,11,0.33,3.42,404.01,35,74,12,107,4,17,420,88,100,69,87,3,7,4,7,0.51,97,12,Urea,1,0,1,5,3,62
2022-12-15,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,117,10,72,32,6.64,18.63,17.56,42,0.57,1.01,0.39,9.08,44.86,0.021,1.47,0.085,71,28.64,27.71,2,15.53,28,0.43,2.62,318.39,35,62,7,58,9,7,403,95,82,22,18,5,3,4,10,0.55,79,9,Urea,0,0,1,6,1,16
2022-12-15,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,117,10,89,35,6.24,18.03,18.5,26,0.69,1.58,0.43,9.83,25.5,0.022,1.3,0.1,52,23.07,26.03,2,16.73,36,0.24,4.8,322.61,21,75,8,132,9,78,335,94,83,40,82,2,4,2,10,0.4,90,10,Potash,0,0,0,7,3,22
2022-12-14,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,121,9,80,23,6.5,17.59,15.47,16,0.96,0.53,0.37,9.92,26.35,0.015,1.9,0.019,75,28.22,24.69,3,18.72,31,0.95,3.18,427.09,24,80,12,197,0,8,311,76,90,71,64,3,8,4,5,0.71,79,11,DAP,1,0,1,3,5,27
2022-12-14,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,121,9,72,24,6.08,18.71,15.58,27,0.64,1.38,0.39,7.02,43.91,0.046,0.8,0.047,50,27.34,27.22,2,18.39,30,0.5,2.68,435.15,21,60,9,126,1,56,439,93,86,64,51,4,6,5,5,0.41,96,10,DAP,1,1,1,2,5,34
2022-12-14,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Medium,Rabi,121,9,80,29,5.61,19.77,16.33,20,0.72,0.28,0.34,6.87,30.99,0.031,0.94,0.098,87,20.38,21.08,3,17.82,25,0.37,4.36,366.95,21,79,11,163,8,98,404,91,80,14,13,2,5,4,5,0.35,87,8,DAP,1,1,0,1,4,4
2022-12-13,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,96,8,77,31,6.61,19.84,19.78,20,0.79,0.27,0.3,4.62,38.81,0.042,1.41,0.061,69,17.84,20.79,3,16.64,13,0.29,4.58,374.7,24,67,11,148,5,86,314,84,95,92,60,1,7,2,7,0.6,97,10,DAP,1,0,0,1,1,96
2022-12-13,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,96,8,82,27,6.59,15.2,15.66,23,0.58,1.19,0.32,4.01,37.52,0.021,1.71,0.064,50,18.93,26.14,3,15.48,26,0.4,3.59,332.64,27,77,10,290,6,9,325,77,91,80,35,1,7,3,5,0.75,70,11,DAP,0,0,1,0,6,22
2022-12-13,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,96,8,79,24,6.49,15.11,18.65,43,0.88,1.15,0.2,5.6,10.21,0.016,1.72,0.079,80,16.57,19.92,3,15.22,32,0.83,3.71,479.5,22,65,7,57,1,67,357,91,81,10,83,4,6,3,8,0.52,74,12,Urea,1,1,0,0,5,31
2022-12-12,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,109,20,80,20,6.26,19.79,17.01,25,0.88,0.9,0.31,6.94,29.61,0.035,1.32,0.064,70,28.71,22.55,2,16.17,23,0.43,3.62,353.91,24,66,6,177,8,0,348,80,92,87,4,2,8,2,9,0.62,94,11,Potash,1,0,0,2,4,69
2022-12-12,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,109,20,74,22,6.12,18.75,17.08,49,0.5,1.71,0.44,6.2,21.3,0.037,0.95,0.097,50,20.02,19.7,2,18.84,23,0.65,4.76,401.42,20,66,9,51,6,77,395,98,95,21,74,5,3,4,9,0.53,82,9,Urea,0,0,0,6,3,49
2022-12-12,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,109,20,83,29,6.39,19.08,19.45,23,0.97,1.92,0.32,9.37,29.0,0.035,1.28,0.05,67,24.34,26.82,2,18.61,17,0.6,3.1,383.74,29,83,10,128,0,13,433,83,85,70,22,4,5,2,9,0.57,90,8,Potash,0,1,0,3,2,45
2022-12-11,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,146,19,82,23,6.96,15.29,18.94,48,0.81,0.24,0.28,9.97,39.39,0.025,1.05,0.087,63,17.58,27.03,2,19.2,29,0.28,3.35,430.57,28,83,7,300,3,66,415,71,87,64,98,2,7,2,8,0.48,92,8,Potash,0,0,0,3,5,15
2022-12-11,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,146,19,74,30,6.86,15.76,19.31,11,0.95,0.63,0.47,8.17,23.2,0.037,0.73,0.037,88,22.91,18.34,3,17.55,13,0.49,3.59,470.84,31,60,9,219,5,90,477,99,85,24,46,4,3,2,6,0.33,86,11,Urea,0,1,0,6,6,91
2022-12-11,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,146,19,87,22,6.29,19.54,18.97,48,0.5,1.45,0.46,4.84,22.96,0.042,1.54,0.025,60,25.9,17.66,3,16.13,37,0.65,3.84,308.79,35,64,12,197,5,10,407,75,96,100,61,4,3,4,6,0.4,70,10,Potash,1,0,1,2,1,77
2022-12-10,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,147,18,79,34,6.25,15.0,16.27,48,0.97,1.97,0.45,6.72,36.86,0.04,1.42,0.016,58,16.19,15.21,3,18.8,25,0.98,3.89,432.15,24,64,9,168,0,16,322,74,89,72,32,3,3,2,6,0.33,86,8,Potash,1,0,1,6,2,41
2022-12-10,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,147,18,76,28,6.51,17.13,16.09,40,0.7,1.52,0.41,6.65,11.28,0.027,1.83,0.069,77,24.09,18.0,3,17.28,11,0.59,4.32,313.41,30,81,8,198,0,48,378,96,90,14,64,1,6,3,7,0.31,99,12,Urea,1,0,1,10,4,50
2022-12-10,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,147,18,84,35,6.3,17.09,15.17,41,0.84,1.92,0.28,6.79,13.56,0.044,0.65,0.059,71,28.22,19.92,2,16.86,33,0.71,4.02,450.53,33,65,6,86,9,15,406,80,89,31,49,2,7,4,5,0.5,87,8,DAP,1,1,0,5,3,48
