Date,TimeOfDay,LAT,LON,TS,T2M,RH2M,WS2M,T2MDEW,GWETTOP,CLOUD_AMT,PRECTOTCORR,Crop_Stage,Rice_Crop_Variety,Season,Duration,Day_of_Leaf_Development,Boron,Soil_ph,Phosphorus,Potassium,Molybdenum,Iron,Sodium,Chlorine,Nickel,Nitrogen,Magnesium,Calcium,Sulphur,Zinc,Copper,Manganese,Soil_Sensitivity_Highly,Soil_Sensitivity_Moderate,Soil_Sensitivity_Insensitive,Leaf_Production_High_Sensitivity_Short,Leaf_Production_High_Sensitivity_Long,Leaf_Production_Low_Sensitivity_Short,Leaf_Production_Low_Sensitivity_Long,Leaf_Initiation_Plastochron,Leaf_Elongation,Leaf_Expansion,Plastochron_Interval,Leaf_Length,Leaf_Width,Leaf_Count,Leaf_Sheath_Length,Lower_Leaf_Length,Lower_Leaf_Width,Middle_Leaf_Length,Middle_Leaf_Width,Flag_Leaf_Length,Flag_Leaf_Width,Vegetative_Duration_Short,Vegetative_Duration_Long,Fungal_Diseases,Protective_Fungicides,Systemic_Fungicides,Curative_Fungicides,Plant_Hormones,Lower_Leaves_Area,Middle_Leaves_Area,Flag_Leaf_Top_Area,Senescence_Initiation,Senescence_Middle_Phase,Senescence_Full_Phase,Light_Intensity_Low,Light_Intensity_Moderate,Light_Intensity_High,Flood_Depth_Ideal,Flood_Depth_Acceptable,Flood_Depth_Excessive,Humidity_Low,Humidity_Moderate,Humidity_High,Humidity_Very_High,Water,Temperature,Radiation,Yield
2018-01-04,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,122,13,0.41,6.48,2.63,16.83,0.01,9.5,15.24,1.32,0.064,16.57,26,18.09,28.04,0.64,0.26,17.85,12,16,17,12,14,17,16,3,1.15,38,4,38,1.24,13,52,17,0.9,40,1.04,27,0.81,90,125,Leaf Smut (Entyloma oryzae),Chlorothalonil,Tebuconazole,Triadimefon,Cytokinins,34,46,51,58,72,95,1,13,15,7,12,19,2,53,85,94,3.2,26.43,362.56,93.15
2018-01-04,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,112,13,0.98,6.55,2.23,15.59,0.041,5.92,19.14,1.0,0.037,19.9,46,23.19,22.98,0.88,0.22,30.85,13,14,17,13,16,18,16,4,1.02,21,3,36,1.3,17,64,17,0.94,32,1.18,24,0.86,60,99,Brown Spot (Bipolaris oryzae),Mancozeb,Azoxystrobin,Hexaconazole,Auxins,37,40,70,61,82,115,2,14,14,5,15,20,46,70,72,102,2.65,26.45,360.37,27.04
2018-01-05,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,90,14,0.58,6.24,2.3,18.36,0.017,9.61,19.58,2.0,0.023,16.42,52,16.74,23.08,0.68,0.33,15.82,12,14,16,12,16,17,16,3,1.0,40,4,34,1.32,17,52,23,1.13,37,1.05,23,0.86,63,100,Sheath Blight (Rhizoctonia solani),Copper-based fungicides,Pyraclostrobin,Triadimefon,Cytokinins,32,58,64,67,84,106,0,13,14,7,14,15,9,57,86,97,3.59,34.55,349.65,22.84
2018-01-05,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,106,14,0.75,5.97,2.3,15.51,0.038,7.61,15.62,1.83,0.017,16.23,34,16.1,19.46,1.61,0.22,44.38,13,14,18,12,15,18,18,3,1.03,45,3,23,1.36,13,55,18,1.11,42,1.3,25,0.9,67,128,Sheath Blight (Rhizoctonia solani),Mancozeb,Azoxystrobin,Hexaconazole,Brassinosteroids,36,51,58,60,70,94,0,14,15,5,12,16,9,50,83,90,4.47,28.18,418.78,42.57
2018-01-05,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,110,14,0.34,5.81,2.66,16.46,0.025,4.2,17.21,1.68,0.036,19.01,46,29.88,21.0,0.63,0.44,11.64,13,16,16,12,14,17,18,3,1.24,43,5,47,1.26,13,61,24,1.08,36,1.35,23,0.83,64,92,Sheath Blight (Rhizoctonia solani),Mancozeb,Propiconazole,Triadimefon,Brassinosteroids,35,49,66,59,85,109,1,13,16,10,14,15,37,56,81,109,3.32,30.79,364.29,0.83
2018-01-06,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,131,15,0.88,6.18,2.92,16.82,0.046,8.9,16.98,0.72,0.08,17.53,60,26.16,24.45,0.53,0.35,48.86,13,16,16,12,14,18,18,5,1.01,44,4,43,1.26,18,50,22,0.95,50,1.17,24,0.82,79,105,Sheath Blight (Rhizoctonia solani),Copper-based fungicides,Pyraclostrobin,Hexaconazole,Auxins,31,41,63,66,70,99,2,13,14,6,15,17,13,53,86,110,3.98,23.55,335.01,1.93
2018-01-06,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,90,15,0.6,7.0,2.82,19.4,0.029,9.43,18.82,0.48,0.098,15.98,51,17.1,29.9,1.69,0.21,42.48,13,16,16,12,16,18,16,4,1.45,38,3,35,1.27,12,64,17,0.88,42,1.39,30,0.93,87,112,Rice Blast (Magnaporthe oryzae),Mancozeb,Propiconazole,Hexaconazole,Auxins,34,47,68,63,88,97,2,12,14,9,13,16,9,58,76,90,2.8,33.05,428.21,62.6
2018-01-06,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,102,15,0.39,6.24,2.33,16.09,0.027,9.4,17.31,0.47,0.039,16.18,25,15.9,29.28,0.95,0.35,26.2,13,16,18,12,15,18,17,4,1.11,44,4,49,1.06,15,54,15,1.01,45,1.14,24,0.86,71,127,Leaf Smut (Entyloma oryzae),Copper-based fungicides,Tebuconazole,Triadimefon,Auxins,31,49,64,50,73,93,0,13,14,7,13,19,40,59,76,120,3.59,26.95,311.32,61.77
2018-01-07,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,127,16,0.37,6.48,2.7,15.69,0.034,4.34,15.09,0.33,0.088,19.75,51,16.59,16.42,0.91,0.21,22.72,14,15,18,14,14,17,16,3,1.38,28,3,27,1.35,15,56,23,1.17,31,1.41,22,0.83,80,124,Brown Spot (Bipolaris oryzae),Chlorothalonil,Pyraclostrobin,Hexaconazole,Auxins,39,48,61,52,74,101,0,12,14,6,10,16,8,54,82,100,3.28,21.03,419.8,88.72
2018-01-07,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,100,16,0.73,6.56,2.91,17.32,0.04,9.84,15.06,1.71,0.083,16.85,53,15.06,27.38,1.02,0.47,11.79,13,16,16,12,16,18,18,4,1.24,47,5,30,1.11,12,51,22,0.9,37,1.1,25,0.98,85,91,Leaf Smut (Entyloma oryzae),Chlorothalonil,Propiconazole,Triadimefon,Cytokinins,37,42,58,66,78,107,2,14,16,7,14,17,8,55,81,106,4.59,29.68,436.98,84.47
2018-01-07,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,125,16,0.66,6.49,2.19,17.73,0.023,6.77,18.38,1.69,0.053,16.49,28,27.1,18.6,1.45,0.24,13.8,13,16,17,13,16,18,18,4,1.17,37,5,39,1.28,14,69,15,1.15,43,1.19,28,0.91,82,111,Leaf Smut (Entyloma oryzae),Copper-based fungicides,Propiconazole,Triadimefon,Gibberellins,34,53,59,54,90,118,2,14,16,6,10,15,43,62,73,97,2.71,24.45,493.2,45.8
2018-01-08,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,91,17,0.83,6.69,2.61,16.01,0.04,8.83,18.41,1.95,0.046,15.48,52,27.77,22.64,1.53,0.35,25.86,13,14,18,14,15,16,18,4,1.43,44,4,49,1.1,16,63,21,1.12,39,1.45,30,0.97,66,110,Brown Spot (Bipolaris oryzae),Chlorothalonil,Propiconazole,Hexaconazole,Cytokinins,32,50,50,64,73,92,0,13,15,6,15,15,1,60,78,109,4.69,20.75,462.49,84.38
2018-01-08,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,109,17,0.69,5.78,2.62,19.47,0.05,4.89,16.06,0.22,0.096,19.65,20,17.14,24.87,1.41,0.49,19.22,14,14,17,12,16,16,16,3,1.15,32,5,45,1.48,12,68,20,1.11,47,1.09,24,0.85,79,91,Brown Spot (Bipolaris oryzae),Copper-based fungicides,Pyraclostrobin,Triadimefon,Cytokinins,30,53,68,50,77,117,0,12,14,5,13,19,24,62,77,110,2.73,22.13,370.92,37.34
2018-01-08,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,126,17,0.58,6.9,2.37,16.2,0.024,8.32,15.08,0.47,0.078,16.6,40,20.39,22.65,1.82,0.2,43.98,12,16,18,12,14,18,17,5,1.12,36,3,34,1.07,15,65,22,0.89,45,1.49,26,0.93,90,104,Leaf Smut (Entyloma oryzae),Copper-based fungicides,Pyraclostrobin,Triadimefon,Gibberellins,31,43,67,70,81,116,1,14,16,5,10,18,7,67,88,105,4.35,25.46,324.17,78.49
2018-01-09,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,96,18,0.39,6.95,2.63,15.22,0.018,4.29,17.14,0.29,0.025,16.5,30,19.59,21.34,1.38,0.27,29.09,12,15,18,14,16,17,18,4,1.39,28,5,49,1.39,12,69,25,1.08,45,1.22,27,0.81,63,122,Rice Blast (Magnaporthe oryzae),Mancozeb,Propiconazole,Triadimefon,Gibberellins,32,43,70,63,89,106,2,12,15,10,10,18,2,52,77,100,2.72,28.43,358.14,9.38
2018-01-09,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,94,18,0.89,5.56,2.16,18.97,0.014,9.55,18.44,0.64,0.081,18.33,51,17.9,26.89,1.26,0.33,15.38,12,14,17,12,15,16,18,4,1.16,33,5,26,1.31,14,64,20,1.12,48,1.4,26,0.81,72,97,Sheath Blight (Rhizoctonia solani),Chlorothalonil,Propiconazole,Triadimefon,Auxins,39,52,63,54,72,97,2,13,16,5,13,19,9,67,86,106,3.68,20.59,479.15,34.4
2018-01-09,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,116,18,0.58,6.43,2.56,17.01,0.038,6.41,16.75,1.27,0.074,17.71,28,27.72,28.53,1.94,0.21,43.65,13,14,16,13,15,17,17,3,1.17,42,3,28,1.27,18,69,15,0.93,42,1.04,24,0.86,70,125,Brown Spot (Bipolaris oryzae),Chlorothalonil,Tebuconazole,Triadimefon,Brassinosteroids,40,44,50,59,85,106,0,14,16,6,13,16,36,54,75,98,3.07,28.0,363.29,19.69
2018-01-10,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,124,19,0.82,6.12,2.16,19.0,0.015,8.23,16.44,1.3,0.034,15.28,24,17.21,25.32,1.19,0.45,28.14,14,15,18,14,15,17,18,3,1.37,32,3,22,1.13,15,56,20,1.12,35,1.06,25,0.83,72,110,Leaf Smut (Entyloma oryzae),Copper-based fungicides,Propiconazole,Triadimefon,Auxins,36,60,68,64,82,110,1,12,15,6,12,18,7,69,85,105,3.85,30.96,358.88,66.12
2018-01-10,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,138,19,0.79,6.79,2.14,19.88,0.032,5.39,17.77,0.51,0.042,19.14,20,23.94,15.17,0.52,0.24,42.21,12,15,18,13,16,18,16,5,1.39,38,4,20,1.45,18,50,17,0.96,48,1.03,26,0.88,75,129,Leaf Smut (Entyloma oryzae),Copper-based fungicides,Propiconazole,Hexaconazole,Cytokinins,33,45,69,70,84,91,1,12,15,10,12,15,4,69,77,103,4.33,33.44,488.43,40.69
2018-01-10,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,118,19,0.62,6.84,2.28,17.47,0.012,4.82,18.51,1.31,0.039,18.82,58,23.05,21.13,1.16,0.28,31.97,14,14,16,12,14,18,16,3,1.19,49,5,28,1.11,18,68,19,1.14,32,1.13,26,0.82,80,95,Leaf Smut (Entyloma oryzae),Copper-based fungicides,Propiconazole,Hexaconazole,Brassinosteroids,38,60,65,57,89,100,2,12,15,5,11,20,31,68,77,113,2.73,28.47,465.06,65.61
2018-01-11,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,122,20,0.79,6.32,2.39,19.68,0.048,7.7,19.3,1.19,0.015,17.85,30,21.64,24.34,1.56,0.31,16.6,13,15,18,12,16,18,18,3,1.02,31,5,47,1.43,18,53,23,0.99,37,1.35,28,0.88,75,111,Rice Blast (Magnaporthe oryzae),Chlorothalonil,Propiconazole,Hexaconazole,Brassinosteroids,35,47,55,67,90,114,0,14,15,5,13,20,42,52,90,116,3.14,28.62,406.28,13.8
2018-01-11,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,107,20,0.78,6.86,2.45,17.02,0.024,6.89,18.87,0.41,0.014,16.99,23,22.16,17.73,0.88,0.43,17.42,14,16,18,14,16,16,16,4,1.16,49,3,21,1.07,15,58,20,0.98,37,1.03,29,0.98,77,92,Sheath Blight (Rhizoctonia solani),Mancozeb,Pyraclostrobin,Hexaconazole,Cytokinins,34,46,51,50,75,112,1,14,16,7,14,20,41,61,79,110,3.47,31.81,388.41,46.17
2018-01-11,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,139,20,0.5,5.61,2.42,16.5,0.043,7.96,18.84,1.23,0.06,16.37,28,16.45,18.41,1.06,0.44,13.79,12,16,16,12,14,17,16,4,1.43,29,4,24,1.01,13,67,25,1.15,40,1.33,28,0.98,85,128,Brown Spot (Bipolaris oryzae),Mancozeb,Propiconazole,Hexaconazole,Brassinosteroids,39,45,58,70,87,93,0,12,16,9,11,18,26,60,72,98,3.62,31.59,307.13,16.81
2018-01-12,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,106,10,0.43,5.65,2.95,15.85,0.047,7.64,19.29,1.2,0.094,18.77,60,20.87,15.48,1.29,0.32,37.05,14,14,16,14,15,18,16,3,1.11,47,5,37,1.27,16,69,21,1.07,45,1.24,23,0.87,68,108,Brown Spot (Bipolaris oryzae),Chlorothalonil,Pyraclostrobin,Triadimefon,Brassinosteroids,30,41,68,58,71,100,1,14,14,9,14,18,49,62,71,105,3.37,33.74,327.24,38.17
2018-01-12,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,115,10,0.31,6.27,2.44,17.29,0.031,7.95,15.38,0.49,0.057,15.44,44,18.36,17.08,1.35,0.31,49.46,13,14,18,14,14,17,17,5,1.2,20,4,40,1.14,18,51,20,1.18,38,1.22,28,0.85,90,110,Leaf Smut (Entyloma oryzae),Chlorothalonil,Pyraclostrobin,Triadimefon,Cytokinins,36,51,60,62,89,111,0,12,15,6,13,15,12,69,79,118,3.07,21.75,402.44,47.15
2018-01-12,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,117,10,0.58,6.3,2.35,16.59,0.019,7.06,19.44,0.51,0.039,17.73,60,21.16,15.1,0.74,0.42,12.32,12,16,16,12,15,17,17,3,1.35,43,3,26,1.47,18,63,21,0.92,45,1.25,26,0.82,83,120,Rice Blast (Magnaporthe oryzae),Mancozeb,Pyraclostrobin,Hexaconazole,Auxins,36,58,65,70,89,91,1,14,16,5,12,16,38,57,76,95,3.25,32.9,385.85,2.81
2018-01-13,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,119,11,0.56,6.14,2.66,15.14,0.031,9.14,16.55,1.09,0.069,15.87,48,19.16,18.08,1.19,0.32,14.53,14,16,16,14,16,17,18,3,1.09,34,3,35,1.08,12,61,19,1.02,41,1.1,26,0.84,62,119,Brown Spot (Bipolaris oryzae),Chlorothalonil,Tebuconazole,Triadimefon,Auxins,30,54,51,63,83,91,0,12,14,5,15,19,12,50,73,117,3.36,27.66,457.62,15.84
2018-01-13,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,114,11,0.35,6.3,2.81,17.08,0.022,9.17,19.46,0.46,0.081,17.88,49,15.76,15.6,0.76,0.44,16.95,13,14,17,12,14,16,16,5,1.02,45,3,37,1.39,18,65,20,1.18,33,1.47,28,0.92,85,99,Rice Blast (Magnaporthe oryzae),Copper-based fungicides,Tebuconazole,Triadimefon,Brassinosteroids,31,47,61,56,74,96,2,14,14,6,10,15,40,57,89,111,3.31,26.16,452.97,90.58
2018-01-13,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,118,11,0.55,6.6,2.18,19.81,0.027,8.21,18.41,1.08,0.038,17.14,36,26.87,15.34,1.76,0.21,30.58,13,16,18,13,14,17,16,5,1.17,42,4,28,1.39,14,65,24,0.91,50,1.27,30,0.87,63,104,Sheath Blight (Rhizoctonia solani),Copper-based fungicides,Tebuconazole,Triadimefon,Cytokinins,34,57,59,53,90,113,1,14,15,10,14,16,21,56,89,115,2.73,29.09,443.73,59.56
2018-01-14,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,108,12,0.99,6.96,2.12,18.44,0.036,7.52,16.67,0.79,0.019,18.63,54,22.53,29.58,1.59,0.41,25.07,13,15,16,13,14,18,17,3,1.28,41,4,30,1.16,14,69,17,0.85,30,1.16,27,0.89,75,126,Brown Spot (Bipolaris oryzae),Mancozeb,Pyraclostrobin,Hexaconazole,Cytokinins,32,56,57,63,74,94,0,13,15,10,12,17,48,62,82,117,2.61,29.05,411.93,21.2
2018-01-14,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,108,12,0.38,6.15,2.98,17.07,0.02,5.29,16.43,0.51,0.085,19.73,25,15.6,15.59,0.7,0.28,18.49,13,15,17,12,14,16,17,5,1.34,32,3,28,1.37,13,50,24,0.84,50,1.13,27,0.96,87,130,Sheath Blight (Rhizoctonia solani),Copper-based fungicides,Azoxystrobin,Hexaconazole,Cytokinins,35,49,66,52,86,102,1,14,16,6,12,15,37,55,78,106,3.45,26.77,302.86,92.06
2018-01-14,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,98,12,0.42,6.37,2.84,15.57,0.017,5.31,19.08,0.62,0.045,19.6,21,20.35,21.72,1.31,0.5,17.04,14,15,16,14,16,18,18,5,1.23,30,4,25,1.12,14,58,16,0.98,44,1.12,29,0.93,73,109,Sheath Blight (Rhizoctonia solani),Chlorothalonil,Propiconazole,Triadimefon,Auxins,37,53,62,66,82,100,2,14,16,7,10,18,26,57,84,92,3.9,31.42,319.99,33.12
2018-01-15,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,95,13,0.59,5.68,2.04,16.03,0.045,7.41,18.25,1.49,0.054,19.89,25,16.11,17.91,0.81,0.21,32.86,12,16,16,12,14,17,16,3,1.35,23,3,48,1.39,13,68,22,1.18,34,1.48,28,0.8,64,101,Rice Blast (Magnaporthe oryzae),Mancozeb,Tebuconazole,Triadimefon,Gibberellins,39,53,55,61,73,114,0,14,16,7,10,16,37,58,75,109,4.96,33.16,330.59,12.2
