Date,TimeOfDay,Crop_Stage,LAT,LON,TS,T2M,RH2M,WS2M,T2MDEW,GWETTOP,CLOUD_AMT,PRECTOTCORR,Rice_Crop_Variety,Season,Duration,Day_of_Tillering,Boron,Soil_Ph,Molybdenum,Chlorine,Nickel,Sulphur,Phosphorus,Potassium,Sodium,Nitrogen,Calcium,Zinc,Copper,Manganese,Iron,Water_Requirement,Radiation_Exposure,Magnesium,Leaf_Initiation_Plastochron,Leaf_Elongation,Radiation,Leaf_Expansion,Leaf_Length,Leaf_Width,Leaf_Count,Lower_Leaf_Length,Lower_Leaf_Width,Middle_Leaf_Length,Middle_Leaf_Width,Vegetation_Leaf_Area_Index,Vegetation_Chlorophyll_Content,Vegetation_Water_Stress_Index,Vegetation_Soil_Organic_Matter,Vegetation_Cloud_Cover,Vegetation_Temperature_Range,Soil_Sensitivity_Highly,Soil_Sensitivity_Moderate,Light_Intensity_Low,Light_Intensity_Moderate,Flood_Depth_Ideal,Humidity_Moderate,Humidity_High,Yield
2022-12-27,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,126,30,0.61,6.05,0.029,1.07,0.048,15.91,2.81,19.76,15.45,19.01,28.09,0.63,0.2,41.76,7.72,4.91,378,335,4,1.1,456.84,33,33,1.24,17,20,1.19,39,1.48,4.03,37,0.24,1.63,3,26,13,15,1,12,8,60,81,23.27
2022-12-27,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Rabi,106,30,0.33,6.67,0.023,1.26,0.018,24.19,2.69,17.45,16.76,17.21,29.03,1.75,0.22,25.45,8.41,3.09,318,309,5,1.41,314.59,27,38,1.04,12,22,0.87,35,1.08,4.36,44,0.23,1.92,7,26,12,16,0,14,8,62,70,7.35
2022-12-27,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,119,30,0.68,6.91,0.024,0.6,0.059,17.83,2.43,19.24,17.17,18.94,25.06,1.09,0.37,36.15,4.87,4.49,445,426,5,1.45,468.69,30,21,1.05,15,16,0.97,41,1.16,2.64,41,0.34,1.72,9,29,14,15,0,14,5,53,73,39.86
2022-12-26,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Medium,Rabi,126,29,0.36,5.58,0.022,1.14,0.037,22.82,2.64,19.57,19.79,17.41,18.04,1.55,0.48,10.38,7.52,2.97,399,500,4,1.49,490.62,43,23,1.29,16,19,1.01,43,1.08,3.84,36,0.49,1.91,16,28,12,16,1,12,10,61,73,78.57
2022-12-26,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,92,29,0.93,6.29,0.031,1.64,0.065,26.53,2.34,19.04,18.85,15.55,24.24,1.87,0.41,29.41,6.53,4.09,492,330,4,1.42,363.95,24,27,1.33,14,24,0.87,42,1.18,3.63,39,0.12,1.76,13,29,13,14,1,13,7,54,72,77.83
2022-12-26,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,116,29,0.79,5.93,0.015,1.84,0.08,22.48,2.79,17.23,19.49,15.11,24.67,0.96,0.23,45.78,9.0,4.47,424,437,4,1.07,393.82,45,27,1.41,15,22,0.96,34,1.41,2.9,41,0.04,1.51,0,27,12,14,2,12,7,67,81,4.24
2022-12-25,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,106,28,0.94,5.94,0.024,0.94,0.015,28.38,2.99,18.0,18.07,15.98,24.42,1.82,0.48,41.19,5.27,3.51,434,413,4,1.05,496.59,23,21,1.37,18,20,1.07,35,1.47,3.66,35,0.2,1.79,4,26,12,16,1,14,8,65,70,0.12
2022-12-25,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,134,28,0.53,5.74,0.013,0.55,0.051,21.41,2.32,18.7,17.52,18.35,15.05,1.85,0.31,18.55,6.98,3.1,315,416,4,1.08,394.81,40,27,1.39,18,22,1.09,36,1.12,4.38,41,0.08,1.83,5,28,12,15,0,12,10,67,71,19.41
2022-12-25,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,107,28,0.87,6.42,0.011,0.5,0.062,21.78,2.55,18.24,18.06,15.8,17.06,1.21,0.24,43.79,7.54,4.84,462,412,3,1.3,302.71,38,41,1.49,15,16,0.87,33,1.45,2.73,38,0.44,1.64,0,27,12,16,1,12,7,57,78,31.79
2022-12-24,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,113,27,0.31,5.86,0.016,1.84,0.015,16.58,2.79,18.83,15.99,16.47,24.47,1.53,0.41,48.08,5.15,4.37,356,395,3,1.45,304.34,37,27,1.16,17,17,0.81,34,1.33,4.05,43,0.08,1.71,17,29,14,16,0,12,8,63,77,3.07
2022-12-24,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Medium,Kharif,111,27,0.65,6.88,0.035,0.43,0.029,28.24,2.33,18.09,16.84,17.8,21.56,1.33,0.44,23.31,5.35,4.61,459,440,4,1.39,461.86,23,38,1.28,14,17,1.13,38,1.15,2.9,38,0.11,1.83,18,30,13,14,1,12,10,63,79,38.72
2022-12-24,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,129,27,0.86,6.89,0.029,1.2,0.085,16.99,2.96,16.99,18.95,15.66,27.81,0.93,0.36,25.14,6.18,3.72,351,360,4,1.04,311.39,37,31,1.11,16,18,1.04,33,1.03,3.41,35,0.3,1.99,12,25,14,15,2,12,7,54,89,31.37
2022-12-23,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Medium,Kharif,120,26,0.67,6.62,0.03,1.95,0.054,24.78,2.07,17.5,17.79,16.98,20.48,1.12,0.47,42.51,4.51,3.65,435,407,5,1.12,351.78,40,47,1.32,12,24,1.05,35,1.18,4.25,35,0.33,1.69,10,25,14,14,2,12,9,60,79,74.82
2022-12-23,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Rabi,140,26,0.36,6.55,0.038,1.52,0.025,29.01,2.63,17.57,19.74,19.96,22.06,1.05,0.45,10.92,9.1,3.49,363,442,3,1.44,379.38,46,34,1.19,13,24,0.99,31,1.29,2.7,45,0.49,1.78,3,27,12,16,0,14,9,60,88,14.82
2022-12-23,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,126,26,0.77,6.39,0.012,1.6,0.015,25.78,2.73,19.01,19.99,19.86,21.26,1.88,0.45,32.96,5.57,4.79,491,358,4,1.38,329.18,42,26,1.04,12,25,1.08,33,1.1,3.63,37,0.47,1.56,12,29,13,15,0,14,6,56,84,37.22
2022-12-22,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Medium,Kharif,106,25,0.35,6.81,0.03,1.67,0.013,20.78,2.23,17.05,17.52,19.4,18.49,1.02,0.23,39.63,8.36,4.95,454,450,5,1.13,308.88,47,24,1.02,18,22,0.96,46,1.48,4.22,37,0.1,1.67,3,30,12,16,0,12,8,59,77,59.54
2022-12-22,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,138,25,0.65,6.75,0.011,1.4,0.043,28.89,2.09,16.26,19.09,18.28,28.91,1.96,0.46,22.4,7.29,4.09,392,417,4,1.03,309.67,44,28,1.31,18,21,0.96,45,1.19,3.07,41,0.16,1.51,19,27,13,14,0,13,6,68,81,33.01
2022-12-22,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,104,25,0.68,6.52,0.045,1.59,0.038,18.63,2.78,17.19,18.73,15.56,23.81,0.97,0.32,27.73,4.59,2.76,491,352,5,1.46,376.07,29,32,1.07,13,20,0.91,40,1.44,2.53,42,0.15,1.71,3,27,14,14,0,14,10,58,70,62.9
2022-12-21,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,140,24,0.37,6.94,0.034,1.65,0.056,17.94,2.57,19.8,19.38,15.08,17.37,1.37,0.22,25.06,5.86,4.56,322,364,5,1.05,315.91,24,50,1.43,12,18,0.85,42,1.11,4.22,43,0.28,1.9,8,30,13,16,0,13,10,65,90,45.92
2022-12-21,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,138,24,0.98,5.54,0.031,0.75,0.054,28.51,2.9,16.06,16.08,15.32,17.68,0.98,0.46,30.05,8.54,2.55,317,394,3,1.25,471.97,30,50,1.33,18,19,1.16,32,1.27,3.69,39,0.25,1.9,2,25,13,15,2,14,9,68,79,75.53
2022-12-21,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,116,24,0.99,6.42,0.039,1.02,0.02,29.91,2.86,15.19,17.69,18.07,29.65,1.89,0.41,13.54,7.43,4.74,456,311,4,1.01,405.96,28,30,1.23,18,20,0.8,43,1.44,3.6,45,0.4,1.95,9,27,14,16,0,13,7,69,72,80.47
2022-12-20,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,131,23,0.88,5.71,0.038,1.8,0.069,27.06,2.72,17.64,19.01,16.58,24.31,1.75,0.2,14.32,6.48,4.08,426,368,3,1.5,381.1,36,48,1.01,12,17,0.82,47,1.16,4.13,42,0.16,1.96,16,29,13,16,1,13,5,60,83,25.88
2022-12-20,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,104,23,0.46,6.66,0.031,1.32,0.016,28.01,2.14,18.47,15.29,18.69,20.67,0.8,0.31,17.53,9.92,4.9,392,440,4,1.26,397.19,36,23,1.23,18,25,0.8,46,1.48,4.03,36,0.19,1.87,2,29,14,14,1,12,6,57,71,59.59
2022-12-20,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,134,23,0.41,6.35,0.045,0.52,0.038,21.09,2.86,15.42,15.74,16.01,15.81,1.22,0.32,15.29,5.95,3.17,497,364,4,1.01,415.09,44,44,1.18,17,16,1.0,45,1.17,3.66,44,0.07,1.94,5,26,13,15,0,13,10,65,78,38.55
2022-12-19,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,107,22,0.83,5.74,0.032,0.79,0.014,23.5,2.32,19.14,17.78,15.82,28.02,1.63,0.48,11.76,4.78,3.18,396,402,3,1.31,468.23,47,23,1.03,13,16,1.17,47,1.29,3.62,42,0.03,1.59,12,26,14,15,1,14,9,65,90,97.22
2022-12-19,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Rabi,107,22,0.82,6.86,0.044,1.67,0.046,25.51,2.46,15.53,17.22,19.92,19.71,1.8,0.5,25.59,9.37,2.77,430,494,3,1.47,471.67,32,25,1.3,17,17,0.83,48,1.19,3.9,42,0.17,1.81,17,26,12,15,2,14,5,58,84,65.82
2022-12-19,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Medium,Kharif,111,22,0.54,6.37,0.036,1.36,0.093,16.31,2.69,15.22,16.69,16.52,28.96,1.49,0.26,18.19,4.69,4.35,313,418,3,1.48,444.73,35,49,1.33,15,15,1.14,45,1.18,2.99,42,0.26,1.76,10,25,14,15,1,13,5,65,80,35.47
2022-12-18,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,126,21,0.58,6.89,0.023,0.35,0.082,24.85,2.34,15.74,17.84,18.02,18.83,1.16,0.37,26.07,7.84,4.75,487,435,3,1.24,440.26,46,49,1.35,15,19,1.04,35,1.12,3.86,40,0.42,1.85,1,30,13,14,0,14,9,57,86,45.56
2022-12-18,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,119,21,0.75,6.86,0.011,1.61,0.052,29.81,2.78,18.28,19.83,15.33,19.35,1.65,0.42,45.87,7.68,4.95,442,377,3,1.12,361.47,20,33,1.17,13,21,0.99,44,1.19,3.28,40,0.06,1.82,0,26,12,14,2,12,5,51,89,12.34
2022-12-18,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,131,21,0.37,6.31,0.028,0.56,0.06,28.21,2.56,19.32,17.03,18.52,23.56,1.47,0.45,22.86,7.07,4.24,353,406,3,1.09,418.41,50,21,1.35,17,20,0.9,33,1.01,2.87,39,0.4,1.59,14,29,13,14,0,13,7,68,73,37.82
2022-12-17,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Rabi,120,32,0.61,6.93,0.042,1.24,0.053,28.35,2.42,18.44,15.28,15.3,22.14,1.3,0.28,39.71,7.96,3.47,352,303,5,1.42,482.0,25,32,1.04,13,21,1.06,45,1.23,4.32,36,0.34,1.74,12,27,12,15,2,13,9,50,88,77.21
2022-12-17,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Rabi,92,32,0.77,6.19,0.028,1.95,0.07,28.79,2.37,17.49,16.46,18.54,19.93,1.51,0.5,21.63,6.76,3.51,491,404,5,1.08,405.26,28,43,1.09,15,23,1.12,34,1.12,4.28,45,0.28,1.81,11,30,14,15,0,12,5,52,88,61.73
2022-12-17,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Rabi,102,32,0.77,6.25,0.049,0.53,0.051,17.11,2.93,16.23,19.67,17.63,22.81,0.95,0.23,30.88,4.63,3.72,465,342,5,1.11,472.11,33,21,1.0,17,18,0.97,34,1.22,3.01,37,0.19,1.67,20,28,13,14,0,13,8,54,75,14.36
2022-12-16,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,110,31,0.82,5.9,0.015,0.42,0.085,20.45,2.17,18.58,17.8,18.91,18.98,0.92,0.44,48.56,4.78,3.16,439,488,3,1.35,363.03,24,47,1.23,15,16,0.82,47,1.41,2.62,36,0.28,1.8,11,28,12,14,2,12,8,62,87,64.52
2022-12-16,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,115,31,0.89,6.64,0.034,1.1,0.098,21.46,2.66,15.08,19.06,18.76,18.6,0.58,0.39,46.57,9.54,2.53,398,324,5,1.18,369.53,24,45,1.46,17,18,1.19,42,1.06,2.86,39,0.08,1.94,19,30,13,14,1,14,7,65,90,87.95
2022-12-16,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Rabi,107,31,0.45,5.54,0.025,1.6,0.09,24.66,2.76,15.6,17.84,18.24,16.65,0.9,0.49,12.13,9.43,3.7,396,410,3,1.01,405.99,32,24,1.12,18,21,1.09,40,1.13,4.42,45,0.33,1.57,6,29,12,15,0,13,10,67,77,49.26
2022-12-15,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,133,30,0.66,6.8,0.029,1.34,0.071,25.75,2.98,16.73,17.67,18.11,24.32,1.23,0.26,20.3,6.99,2.59,483,321,3,1.44,404.01,46,34,1.15,14,15,1.18,50,1.13,4.07,39,0.25,1.93,13,26,13,15,1,13,10,52,80,85.8
2022-12-15,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,126,30,0.57,5.84,0.021,1.01,0.085,27.71,2.79,15.53,18.63,17.56,28.64,1.47,0.39,44.86,9.08,3.3,469,321,4,1.06,318.39,21,44,1.28,18,22,1.06,49,1.15,3.42,41,0.1,1.51,1,25,14,15,1,14,6,50,85,71.88
2022-12-15,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,118,30,0.69,5.72,0.022,1.58,0.1,26.03,2.44,16.73,18.03,18.5,23.07,1.3,0.43,25.5,9.83,4.73,367,497,3,1.09,322.61,27,29,1.01,16,15,1.17,33,1.11,4.31,45,0.22,1.96,1,25,12,16,0,14,6,51,74,32.75
2022-12-14,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,108,29,0.96,5.81,0.015,0.53,0.019,24.69,2.64,18.72,17.59,15.47,28.22,1.9,0.37,26.35,9.92,2.69,308,376,5,1.31,427.09,43,27,1.25,16,22,1.15,36,1.17,2.82,41,0.36,1.76,6,28,12,14,1,12,5,56,86,80.94
2022-12-14,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,118,29,0.64,5.5,0.046,1.38,0.047,27.22,2.32,18.39,18.71,15.58,27.34,0.8,0.39,43.91,7.02,4.45,396,423,3,1.34,435.15,45,39,1.09,12,16,0.91,31,1.22,3.11,45,0.05,1.54,19,27,12,14,2,14,6,50,87,47.26
2022-12-14,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,117,29,0.72,6.42,0.031,0.28,0.098,21.08,2.07,17.82,19.77,16.33,20.38,0.94,0.34,30.99,6.87,4.64,439,399,5,1.39,366.95,42,49,1.29,15,22,0.95,39,1.12,2.51,36,0.08,1.77,10,29,14,14,1,14,8,59,84,49.41
2022-12-13,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,118,28,0.79,6.25,0.042,0.27,0.061,20.79,2.39,16.64,19.84,19.78,17.84,1.41,0.3,38.81,4.62,3.38,491,355,5,1.21,374.7,38,30,1.16,13,17,1.13,50,1.43,3.92,45,0.05,1.81,14,26,13,14,2,14,10,54,84,41.59
2022-12-13,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,97,28,0.58,6.24,0.021,1.19,0.064,26.14,2.37,15.48,15.2,15.66,18.93,1.71,0.32,37.52,4.01,4.21,477,308,4,1.32,332.64,24,23,1.19,14,19,0.97,40,1.31,3.29,43,0.25,1.59,6,27,13,16,1,13,10,61,81,26.08
2022-12-13,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,119,28,0.88,5.55,0.016,1.15,0.079,19.92,2.73,15.22,15.11,18.65,16.57,1.72,0.2,10.21,5.6,2.69,452,471,5,1.29,479.5,25,49,1.33,15,24,0.82,32,1.38,2.65,39,0.29,1.72,13,29,13,16,1,13,6,65,87,50.92
2022-12-12,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,132,27,0.88,6.84,0.035,0.9,0.064,22.55,2.52,16.17,19.79,17.01,28.71,1.32,0.31,29.61,6.94,2.53,453,338,4,1.47,353.91,47,50,1.35,15,25,0.9,50,1.19,3.01,38,0.13,1.83,17,27,14,14,0,13,8,63,79,2.51
2022-12-12,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,130,27,0.5,6.41,0.037,1.71,0.097,19.7,2.64,18.84,18.75,17.08,20.02,0.95,0.44,21.3,6.2,2.56,497,408,3,1.02,401.42,38,43,1.18,14,25,0.97,40,1.29,3.36,42,0.14,1.58,16,26,13,14,1,14,9,55,87,3.43
2022-12-12,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Medium,Rabi,123,27,0.97,6.14,0.035,1.92,0.05,26.82,2.42,18.61,19.08,19.45,24.34,1.28,0.32,29.0,9.37,3.46,373,380,5,1.15,383.74,39,37,1.07,12,15,1.14,45,1.11,4.02,38,0.04,1.84,4,26,12,16,0,13,7,65,85,85.39
2022-12-11,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,91,26,0.81,6.44,0.025,0.24,0.087,27.03,2.3,19.2,15.29,18.94,17.58,1.05,0.28,39.39,9.97,3.66,365,412,3,1.13,430.57,33,34,1.46,17,16,1.15,35,1.31,4.24,43,0.08,1.98,8,29,13,14,1,12,9,54,72,81.61
2022-12-11,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Rabi,103,26,0.95,5.59,0.037,0.63,0.037,18.34,2.95,17.55,15.76,19.31,22.91,0.73,0.47,23.2,8.17,2.88,493,465,4,1.02,470.84,46,37,1.41,16,25,0.87,30,1.16,3.72,41,0.08,1.86,12,30,13,15,1,12,5,64,80,57.18
2022-12-11,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,112,26,0.5,6.66,0.042,1.45,0.025,17.66,2.36,16.13,19.54,18.97,25.9,1.54,0.46,22.96,4.84,3.53,484,324,5,1.22,308.79,41,39,1.48,16,25,0.98,39,1.34,3.62,45,0.45,1.8,4,30,14,15,0,13,7,51,74,2.13
2022-12-10,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Medium,Kharif,113,25,0.97,6.1,0.04,1.97,0.016,15.21,2.66,18.8,15.0,16.27,16.19,1.42,0.45,36.86,6.72,4.94,307,395,4,1.19,432.15,20,30,1.33,17,16,1.04,35,1.3,4.42,38,0.31,1.87,18,28,12,15,2,13,9,58,89,86.71
2022-12-10,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Medium,Rabi,133,25,0.7,7.0,0.027,1.52,0.069,18.0,2.7,17.28,17.13,16.09,24.09,1.83,0.41,11.28,6.65,4.08,444,436,4,1.44,313.41,35,47,1.06,12,16,1.13,48,1.11,3.48,44,0.44,1.51,0,26,13,15,2,14,8,67,89,74.48
