Date,TimeOfDay,LAT,LON,Crop_Stage,TS,T2M,RH2M,WS2M,T2MDEW,GWETTOP,CLOUD_AMT,PRECTOTCORR,Rice_Crop_Variety,Season,Duration,Day_of_Sowing,soil_pH,Iron,Manganese,Zinc,Copper,Boron,Molybdenum,Chlorine,Nickel,Potassium,Sodium,Nitrogen,Calcium,Sulphur,Phosphorous,Yield_Trait,Soil_Moisture_Content,Vegetation_Index,Relative_Humidity,Temperature,Water,Radiation,Magnesium,Disease_Resistance,Pest_Resistance,Drought_Tolerance,Heat_Tolerance,Cold_Tolerance,Plant_Vigor,Plant_Stress_Resilience,Land_Preparation,Biological_Interactions,Pollution,Yield
2022-12-26,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,135,4,6.18,6.53,29.41,1.87,0.41,0.93,0.031,1.64,0.065,19.04,18.85,15.55,24.24,26.53,3,Hybrid,86,0.32,63.08,27.62,3.87,363.95,37,53,40,2,41,48,9,84,5,31,25,95.98
2022-12-26,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,134,4,6.66,9.0,45.78,0.96,0.23,0.79,0.015,1.84,0.08,17.23,19.49,15.11,24.67,22.48,2,Hybrid,70,0.58,70.54,26.79,3.17,393.82,23,86,8,95,41,17,90,30,6,88,10,44.3
2022-12-25,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,108,3,6.1,5.27,41.19,1.82,0.48,0.94,0.024,0.94,0.015,18.0,18.07,15.98,24.42,28.38,3,Hybrid,87,0.79,65.44,28.23,3.49,496.59,55,71,70,96,38,22,50,91,7,92,9,96.73
2022-12-25,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,101,3,6.75,6.98,18.55,1.85,0.31,0.53,0.013,0.55,0.051,18.7,17.52,18.35,15.05,21.41,2,Hybrid,87,0.47,76.18,26.42,4.09,394.81,22,88,60,85,9,3,76,92,4,18,17,0.38
2022-12-25,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,111,3,6.34,7.54,43.79,1.21,0.24,0.87,0.011,0.5,0.062,18.24,18.06,15.8,17.06,21.78,3,Hybrid,86,0.34,72.7,32.13,4.77,302.71,29,16,2,59,71,33,22,31,2,23,30,84.97
2022-12-24,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,91,2,6.05,5.15,48.08,1.53,0.41,0.31,0.016,1.84,0.015,18.83,15.99,16.47,24.47,16.58,2,Hybrid,70,0.62,82.65,20.44,2.74,304.34,52,44,98,85,51,43,7,23,6,63,29,8.55
2022-12-24,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,94,2,6.81,5.35,23.31,1.33,0.44,0.65,0.035,0.43,0.029,18.09,16.84,17.8,21.56,28.24,2,Hybrid,80,0.67,80.25,21.96,3.34,461.86,38,19,47,29,96,60,86,45,5,57,34,62.64
2022-12-24,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,100,2,6.57,6.18,25.14,0.93,0.36,0.86,0.029,1.2,0.085,16.99,18.95,15.66,27.81,16.99,3,Hybrid,77,0.41,77.89,28.72,4.21,311.39,51,0,84,65,17,63,85,83,7,83,46,74.63
2022-12-23,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,100,1,6.49,4.51,42.51,1.12,0.47,0.67,0.03,1.95,0.054,17.5,17.79,16.98,20.48,24.78,3,Hybrid,73,0.69,71.15,33.48,4.2,351.78,36,42,75,14,96,29,75,21,5,0,25,10.0
2022-12-23,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,91,1,5.59,9.1,10.92,1.05,0.45,0.36,0.038,1.52,0.025,17.57,19.74,19.96,22.06,29.01,3,Hybrid,70,0.53,76.93,24.23,4.37,379.38,57,80,97,74,38,86,32,81,10,56,26,48.43
2022-12-23,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,125,1,5.8,5.57,32.96,1.88,0.45,0.77,0.012,1.6,0.015,19.01,19.99,19.86,21.26,25.78,2,Hybrid,80,0.31,77.61,23.13,4.48,329.18,57,13,87,34,75,44,81,87,6,26,44,20.7
2022-12-22,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,138,0,6.96,8.36,39.63,1.02,0.23,0.35,0.03,1.67,0.013,17.05,17.52,19.4,18.49,20.78,2,Hybrid,85,0.7,66.34,33.44,3.62,308.88,46,61,73,32,33,97,24,55,7,45,26,34.11
2022-12-22,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,129,0,6.72,7.29,22.4,1.96,0.46,0.65,0.011,1.4,0.043,16.26,19.09,18.28,28.91,28.89,3,Hybrid,77,0.82,78.65,33.7,3.08,309.67,50,15,54,99,77,49,58,96,2,18,2,28.68
2022-12-22,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,125,0,6.09,4.59,27.73,0.97,0.32,0.68,0.045,1.59,0.038,17.19,18.73,15.56,23.81,18.63,3,Hybrid,71,0.72,82.68,25.68,4.16,376.07,55,70,59,39,31,78,48,34,7,48,50,42.89
2022-12-21,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,124,7,5.81,5.86,25.06,1.37,0.22,0.37,0.034,1.65,0.056,19.8,19.38,15.08,17.37,17.94,3,Hybrid,90,0.43,66.24,30.95,3.8,315.91,44,87,57,7,6,48,71,2,9,5,30,36.58
2022-12-21,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,124,7,6.64,8.54,30.05,0.98,0.46,0.98,0.031,0.75,0.054,16.06,16.08,15.32,17.68,28.51,2,Hybrid,73,0.36,81.89,29.97,3.94,471.97,48,96,4,63,16,93,17,77,9,6,42,69.43
2022-12-21,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,129,7,5.57,7.43,13.54,1.89,0.41,0.99,0.039,1.02,0.02,15.19,17.69,18.07,29.65,29.91,3,Hybrid,86,0.77,66.48,28.65,4.79,405.96,46,23,65,62,2,98,89,15,9,84,38,45.67
2022-12-20,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,99,6,6.35,6.48,14.32,1.75,0.2,0.88,0.038,1.8,0.069,17.64,19.01,16.58,24.31,27.06,2,Hybrid,77,0.44,84.2,27.46,2.96,381.1,45,25,26,48,22,33,66,63,8,16,39,67.71
2022-12-20,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,100,6,6.01,9.92,17.53,0.8,0.31,0.46,0.031,1.32,0.016,18.47,15.29,18.69,20.67,28.01,3,Hybrid,73,0.87,77.24,23.9,3.89,397.19,28,19,34,98,51,96,5,0,8,57,34,2.32
2022-12-20,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,107,6,6.62,5.95,15.29,1.22,0.32,0.41,0.045,0.52,0.038,15.42,15.74,16.01,15.81,21.09,2,Hybrid,70,0.4,71.9,20.38,4.76,415.09,33,57,68,82,13,38,84,76,2,90,39,39.1
2022-12-19,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,111,5,6.24,4.78,11.76,1.63,0.48,0.83,0.032,0.79,0.014,19.14,17.78,15.82,28.02,23.5,2,Hybrid,88,0.68,65.4,25.45,2.67,468.23,55,33,32,46,15,75,12,97,9,68,2,59.05
2022-12-19,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,98,5,5.61,9.37,25.59,1.8,0.5,0.82,0.044,1.67,0.046,15.53,17.22,19.92,19.71,25.51,3,Hybrid,80,0.62,82.49,23.35,4.19,471.67,49,49,14,32,30,71,99,25,3,83,39,82.11
2022-12-19,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,112,5,6.66,4.69,18.19,1.49,0.26,0.54,0.036,1.36,0.093,15.22,16.69,16.52,28.96,16.31,3,Hybrid,73,0.42,77.28,30.51,4.89,444.73,55,9,72,13,14,87,79,25,5,68,26,57.71
2022-12-18,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,90,4,6.82,7.84,26.07,1.16,0.37,0.58,0.023,0.35,0.082,15.74,17.84,18.02,18.83,24.85,3,Hybrid,89,0.48,68.46,25.21,4.83,440.26,39,2,11,5,0,64,89,22,4,4,47,20.16
2022-12-18,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,132,4,5.79,7.68,45.87,1.65,0.42,0.75,0.011,1.61,0.052,18.28,19.83,15.33,19.35,29.81,3,Hybrid,75,0.59,70.3,20.11,4.46,361.47,24,91,57,26,88,2,1,71,10,63,19,98.48
2022-12-18,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,128,4,6.35,7.07,22.86,1.47,0.45,0.37,0.028,0.56,0.06,19.32,17.03,18.52,23.56,28.21,2,Hybrid,77,0.89,69.23,20.65,4.89,418.41,44,54,45,45,92,55,2,39,8,43,44,93.21
2022-12-17,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,111,3,6.95,7.96,39.71,1.3,0.28,0.61,0.042,1.24,0.053,18.44,15.28,15.3,22.14,28.35,3,Hybrid,80,0.64,78.01,24.54,3.74,482.0,39,52,99,33,27,30,47,84,10,64,37,69.17
2022-12-17,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,91,3,5.76,6.76,21.63,1.51,0.5,0.77,0.028,1.95,0.07,17.49,16.46,18.54,19.93,28.79,3,Hybrid,72,0.58,72.73,30.65,4.04,405.26,20,66,33,89,84,72,6,20,8,9,38,81.18
2022-12-17,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,98,3,5.73,4.63,30.88,0.95,0.23,0.77,0.049,0.53,0.051,16.23,19.67,17.63,22.81,17.11,3,Hybrid,75,0.89,76.11,29.25,3.95,472.11,52,84,71,43,65,20,24,48,4,56,25,0.9
2022-12-16,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,92,2,6.15,4.78,48.56,0.92,0.44,0.82,0.015,0.42,0.085,18.58,17.8,18.91,18.98,20.45,2,Hybrid,72,0.48,66.59,23.92,4.95,363.03,55,73,1,12,8,82,58,39,4,21,0,33.03
2022-12-16,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,126,2,6.94,9.54,46.57,0.58,0.39,0.89,0.034,1.1,0.098,15.08,19.06,18.76,18.6,21.46,2,Hybrid,88,0.52,64.64,29.89,3.29,369.53,51,100,56,75,2,17,37,79,3,29,7,7.97
2022-12-16,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,106,2,5.81,9.43,12.13,0.9,0.49,0.45,0.025,1.6,0.09,15.6,17.84,18.24,16.65,24.66,3,Hybrid,88,0.67,78.32,27.81,3.96,405.99,23,13,57,88,99,2,78,0,5,22,42,63.23
2022-12-15,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,112,1,6.05,6.99,20.3,1.23,0.26,0.66,0.029,1.34,0.071,16.73,17.67,18.11,24.32,25.75,3,Hybrid,75,0.73,66.9,33.94,4.92,404.01,52,96,85,56,100,3,33,89,5,83,15,65.09
2022-12-15,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,137,1,5.77,9.08,44.86,1.47,0.39,0.57,0.021,1.01,0.085,15.53,18.63,17.56,28.64,27.71,2,Hybrid,73,0.39,81.54,21.3,3.78,318.39,38,55,49,18,82,17,90,59,8,29,4,27.38
2022-12-15,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,131,1,6.41,9.83,25.5,1.3,0.43,0.69,0.022,1.58,0.1,16.73,18.03,18.5,23.07,26.03,3,Hybrid,81,0.4,82.89,22.7,2.51,322.61,35,42,71,14,6,50,35,6,3,29,31,90.26
2022-12-14,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,92,0,5.93,9.92,26.35,1.9,0.37,0.96,0.015,0.53,0.019,18.72,17.59,15.47,28.22,24.69,2,Hybrid,71,0.39,61.86,25.58,3.82,427.09,49,43,17,12,43,58,43,69,8,98,42,87.67
2022-12-14,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,122,0,6.94,7.02,43.91,0.8,0.39,0.64,0.046,1.38,0.047,18.39,18.71,15.58,27.34,27.22,2,Hybrid,79,0.53,77.33,31.66,4.62,435.15,22,84,38,37,4,10,28,6,7,71,14,4.97
2022-12-14,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,95,0,6.08,6.87,30.99,0.94,0.34,0.72,0.031,0.28,0.098,17.82,19.77,16.33,20.38,21.08,2,Hybrid,79,0.44,75.24,22.71,3.61,366.95,29,22,11,55,32,1,66,58,1,47,6,85.95
2022-12-13,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,109,7,6.4,4.62,38.81,1.41,0.3,0.79,0.042,0.27,0.061,16.64,19.84,19.78,17.84,20.79,2,Hybrid,80,0.41,68.19,25.19,3.4,374.7,40,68,100,84,16,30,98,17,9,54,31,93.62
2022-12-13,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,126,7,5.54,4.01,37.52,1.71,0.32,0.58,0.021,1.19,0.064,15.48,15.2,15.66,18.93,26.14,2,Hybrid,83,0.59,70.73,23.78,4.31,332.64,37,69,11,91,8,70,49,45,8,72,29,94.69
2022-12-13,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,112,7,6.6,5.6,10.21,1.72,0.2,0.88,0.016,1.15,0.079,15.22,15.11,18.65,16.57,19.92,3,Hybrid,81,0.52,68.22,31.0,3.52,479.5,42,70,2,6,91,32,84,88,9,71,14,57.06
2022-12-12,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,136,6,5.99,6.94,29.61,1.32,0.31,0.88,0.035,0.9,0.064,16.17,19.79,17.01,28.71,22.55,2,Hybrid,76,0.41,72.33,25.62,4.38,353.91,60,11,96,67,35,25,15,68,7,27,26,94.22
2022-12-12,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,101,6,6.82,6.2,21.3,0.95,0.44,0.5,0.037,1.71,0.097,18.84,18.75,17.08,20.02,19.7,3,Hybrid,84,0.63,79.92,33.58,4.69,401.42,60,95,72,94,83,80,31,58,5,22,40,94.27
2022-12-12,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,102,6,6.6,9.37,29.0,1.28,0.32,0.97,0.035,1.92,0.05,18.61,19.08,19.45,24.34,26.82,2,Hybrid,90,0.68,83.6,30.12,4.12,383.74,41,87,1,18,48,100,84,12,8,74,22,50.79
2022-12-11,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,122,5,6.18,9.97,39.39,1.05,0.28,0.81,0.025,0.24,0.087,19.2,15.29,18.94,17.58,27.03,2,Hybrid,80,0.82,62.83,20.31,4.75,430.57,32,25,20,71,24,34,45,24,7,26,46,19.18
2022-12-11,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,140,5,6.74,8.17,23.2,0.73,0.47,0.95,0.037,0.63,0.037,17.55,15.76,19.31,22.91,18.34,2,Hybrid,81,0.5,72.93,29.75,4.21,470.84,38,16,26,35,74,57,34,43,9,86,15,31.68
2022-12-11,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,129,5,6.05,4.84,22.96,1.54,0.46,0.5,0.042,1.45,0.025,16.13,19.54,18.97,25.9,17.66,2,Hybrid,74,0.58,79.68,28.69,3.49,308.79,55,51,59,95,24,78,75,36,4,79,20,6.81
2022-12-10,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,94,4,6.67,6.72,36.86,1.42,0.45,0.97,0.04,1.97,0.016,18.8,15.0,16.27,16.19,15.21,3,Hybrid,81,0.81,81.38,22.88,3.13,432.15,34,1,54,12,60,33,100,21,3,19,25,89.31
2022-12-10,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,133,4,6.95,6.65,11.28,1.83,0.41,0.7,0.027,1.52,0.069,17.28,17.13,16.09,24.09,18.0,2,Hybrid,83,0.87,76.96,30.27,3.44,313.41,55,27,100,28,12,2,22,11,6,12,6,36.83
2022-12-10,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,130,4,6.58,6.79,13.56,0.65,0.28,0.84,0.044,1.92,0.059,16.86,17.09,15.17,28.22,19.92,3,Hybrid,71,0.43,84.35,28.75,4.28,450.53,48,80,4,91,71,100,64,92,5,40,12,38.39
2022-12-09,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,111,3,5.51,6.53,44.29,1.79,0.38,0.34,0.04,0.72,0.014,15.66,16.12,18.41,16.53,19.05,2,Hybrid,80,0.56,72.57,26.25,2.73,406.79,22,24,33,33,47,28,65,94,8,12,27,93.61
2022-12-09,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,92,3,6.76,5.13,36.95,1.57,0.32,0.96,0.041,2.0,0.05,19.54,19.33,18.5,22.57,27.76,2,Hybrid,73,0.55,84.26,34.14,2.66,471.73,54,76,58,95,72,44,48,86,1,2,50,98.98
2022-12-09,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,116,3,6.25,5.33,46.73,0.66,0.27,0.99,0.024,0.91,0.018,18.57,19.03,15.15,17.99,21.1,2,Hybrid,80,0.84,73.88,32.55,3.43,368.52,32,0,6,78,59,80,59,15,5,88,23,72.79
2022-12-08,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,135,2,5.95,9.99,39.81,1.36,0.39,0.61,0.035,0.6,0.087,17.51,17.31,18.5,22.79,27.07,2,Hybrid,81,0.67,74.82,28.27,4.65,437.44,38,50,79,77,40,42,15,77,5,26,47,95.88
2022-12-08,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,116,2,6.41,4.41,41.79,1.11,0.39,0.36,0.016,1.41,0.016,16.81,18.76,16.79,25.27,22.44,3,Hybrid,72,0.32,77.29,34.19,4.02,369.42,53,96,93,86,20,26,67,97,3,82,30,90.21
2022-12-08,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,122,2,5.85,8.76,38.37,1.14,0.45,0.57,0.02,0.45,0.077,15.86,17.58,16.77,19.36,28.3,3,Hybrid,74,0.43,72.23,34.44,2.91,398.1,45,8,8,80,46,42,61,83,1,32,21,7.06
2022-12-07,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,137,1,6.28,8.67,35.75,0.77,0.42,0.83,0.019,0.55,0.039,18.54,16.83,17.26,22.55,28.62,3,Hybrid,89,0.84,83.88,20.54,3.11,310.51,48,85,29,2,92,99,93,86,7,29,28,62.93
2022-12-07,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,123,1,6.57,7.92,40.77,0.93,0.39,0.98,0.032,1.95,0.057,17.57,17.34,15.53,26.35,19.93,2,Hybrid,83,0.74,66.54,34.66,4.24,470.74,25,8,38,54,66,8,39,86,2,89,23,93.86
2022-12-07,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,137,1,6.61,5.85,41.74,0.51,0.28,0.6,0.012,1.65,0.03,19.81,18.16,16.61,20.58,22.0,2,Hybrid,87,0.65,76.18,30.33,4.91,464.99,21,83,97,79,56,69,62,82,7,12,4,24.96
2022-12-06,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,130,0,6.97,9.8,41.59,1.78,0.4,0.78,0.018,1.53,0.033,17.22,17.89,16.05,26.3,18.19,3,Hybrid,77,0.71,67.41,31.25,4.83,318.85,49,98,30,23,67,51,28,18,2,22,4,48.99
